0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.005,0.0075,0.0075,0.0075,0.0075,0.0075,0.008,0.008,0.008,0.008,0.008,0.011,0.011,0.011,0.011,0.011,0.014,0.014,0.014,0.014,0.014,0.0155,0.0155,0.0155,0.0155,0.0155,0.0165,0.0165,0.0165,0.0165,0.0165,0.0205,0.0205,0.0205,0.0205,0.0205,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0225,0.0225,0.0225,0.0225,0.0225,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.027,0.027,0.027,0.027,0.027,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265,0.03,0.03,0.03,0.03,0.03,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.034,0.034,0.034,0.034,0.034,0.035,0.035,0.035,0.035,0.035,0.0355,0.0355,0.0355,0.0355,0.0355,0.035,0.035,0.035,0.035,0.035,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.037,0.037,0.037,0.037,0.04,0.04,0.04,0.04,0.04
0.0765,0.0765,0.0765,0.0765,0.0765,0.117,0.117,0.117,0.117,0.117,0.1575,0.1575,0.1575,0.1575,0.1575,0.1785,0.1785,0.1785,0.1785,0.1785,0.191,0.191,0.191,0.191,0.191,0.2055,0.2055,0.2055,0.2055,0.2055,0.2125,0.2125,0.2125,0.2125,0.2125,0.2265,0.2265,0.2265,0.2265,0.2265,0.2295,0.2295,0.2295,0.2295,0.2295,0.231,0.231,0.231,0.231,0.231,0.2285,0.2285,0.2285,0.2285,0.2285,0.2335,0.2335,0.2335,0.2335,0.2335,0.2355,0.2355,0.2355,0.2355,0.2355,0.2475,0.2475,0.2475,0.2475,0.2475,0.26,0.26,0.26,0.26,0.26,0.2645,0.2645,0.2645,0.2645,0.2645,0.265,0.265,0.265,0.265,0.265,0.2575,0.2575,0.2575,0.2575,0.2575,0.2595,0.2595,0.2595,0.2595,0.2595,0.2635,0.2635,0.2635,0.2635,0.2635,0.27,0.27,0.27,0.27,0.27,0.2715,0.2715,0.2715,0.2715,0.2715,0.2755,0.2755,0.2755,0.2755,0.2755,0.282,0.282,0.282,0.282,0.282,0.2825,0.2825,0.2825,0.2825,0.2825,0.2865,0.2865,0.2865,0.2865,0.2865,0.2865,0.2865,0.2865,0.2865,0.2865,0.2905,0.2905,0.2905,0.2905,0.2905,0.2905,0.2905,0.2905,0.2905,0.2905,0.29,0.29,0.29,0.29,0.29,0.2905,0.2905,0.2905,0.2905,0.2905,0.293,0.293,0.293,0.293,0.293
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.228,0.228,0.228,0.228,0.228,0.2915,0.2915,0.2915,0.2915,0.2915,0.327,0.327,0.327,0.327,0.327,0.356,0.356,0.356,0.356,0.356,0.3725,0.3725,0.3725,0.3725,0.3725,0.3795,0.3795,0.3795,0.3795,0.3795,0.3885,0.3885,0.3885,0.3885,0.3885,0.4085,0.4085,0.4085,0.4085,0.4085,0.413,0.413,0.413,0.413,0.413,0.419,0.419,0.419,0.419,0.419,0.4195,0.4195,0.4195,0.4195,0.4195,0.4225,0.4225,0.4225,0.4225,0.4225,0.4375,0.4375,0.4375,0.4375,0.4375,0.4425,0.4425,0.4425,0.4425,0.4425,0.445,0.445,0.445,0.445,0.445,0.4475,0.4475,0.4475,0.4475,0.4475,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.4485,0.455,0.455,0.455,0.455,0.455,0.4565,0.4565,0.4565,0.4565,0.4565,0.461,0.461,0.461,0.461,0.461,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.463,0.4625,0.4625,0.4625,0.4625,0.4625,0.468,0.468,0.468,0.468,0.468,0.4725,0.4725,0.4725,0.4725,0.4725,0.473,0.473,0.473,0.473,0.473,0.4745,0.4745,0.4745,0.4745,0.4745,0.4755,0.4755,0.4755,0.4755,0.4755,0.477,0.477,0.477,0.477,0.477,0.4795,0.4795,0.4795,0.4795,0.4795
0.029,0.029,0.029,0.029,0.029,0.047,0.047,0.047,0.047,0.047,0.061,0.061,0.061,0.061,0.061,0.077,0.077,0.077,0.077,0.077,0.086,0.086,0.086,0.086,0.086,0.091,0.091,0.091,0.091,0.091,0.0955,0.0955,0.0955,0.0955,0.0955,0.1,0.1,0.1,0.1,0.1,0.0995,0.0995,0.0995,0.0995,0.0995,0.1015,0.1015,0.1015,0.1015,0.1015,0.103,0.103,0.103,0.103,0.103,0.105,0.105,0.105,0.105,0.105,0.1125,0.1125,0.1125,0.1125,0.1125,0.1135,0.1135,0.1135,0.1135,0.1135,0.1145,0.1145,0.1145,0.1145,0.1145,0.1155,0.1155,0.1155,0.1155,0.1155,0.117,0.117,0.117,0.117,0.117,0.118,0.118,0.118,0.118,0.118,0.1205,0.1205,0.1205,0.1205,0.1205,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.1215,0.121,0.121,0.121,0.121,0.121,0.123,0.123,0.123,0.123,0.123,0.1255,0.1255,0.1255,0.1255,0.1255,0.1255,0.1255,0.1255,0.1255,0.1255,0.126,0.126,0.126,0.126,0.126,0.1265,0.1265,0.1265,0.1265,0.1265,0.1265,0.1265,0.1265,0.1265,0.1265,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129
0.163,0.163,0.163,0.163,0.163,0.538,0.538,0.538,0.538,0.538,0.586,0.586,0.586,0.586,0.586,0.6275,0.6275,0.6275,0.6275,0.6275,0.638,0.638,0.638,0.638,0.638,0.6425,0.6425,0.6425,0.6425,0.6425,0.6565,0.6565,0.6565,0.6565,0.6565,0.68,0.68,0.68,0.68,0.68,0.6875,0.6875,0.6875,0.6875,0.6875,0.6925,0.6925,0.6925,0.6925,0.6925,0.695,0.695,0.695,0.695,0.695,0.703,0.703,0.703,0.703,0.703,0.711,0.711,0.711,0.711,0.711,0.716,0.716,0.716,0.716,0.716,0.728,0.728,0.728,0.728,0.728,0.7355,0.7355,0.7355,0.7355,0.7355,0.7365,0.7365,0.7365,0.7365,0.7365,0.7375,0.7375,0.7375,0.7375,0.7375,0.739,0.739,0.739,0.739,0.739,0.74,0.74,0.74,0.74,0.74,0.7705,0.7705,0.7705,0.7705,0.7705,0.7725,0.7725,0.7725,0.7725,0.7725,0.773,0.773,0.773,0.773,0.773,0.774,0.774,0.774,0.774,0.774,0.7755,0.7755,0.7755,0.7755,0.7755,0.776,0.776,0.776,0.776,0.776,0.7755,0.7755,0.7755,0.7755,0.7755,0.776,0.776,0.776,0.776,0.776,0.777,0.777,0.777,0.777,0.777,0.7835,0.7835,0.7835,0.7835,0.7835,0.7955,0.7955,0.7955,0.7955,0.7955,0.7975,0.7975,0.7975,0.7975,0.7975
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
