gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_emission_gCO2,min_time,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
0,0.13,1.0,0.0,136284876388.5311,1580393361.7241032,762.8050000000001,0.0,0.0,0.0,0.0,2850.9808551966357,1734.667340681377
1,0.13,1.0,0.0,126096291634.23079,1525294047.9710536,606.1123809523809,0.0,0.0,0.0,0.0,2669.3393319721617,1652.2230065634164
2,0.13,1.0,0.0,126096291634.23079,1503829891.6562657,606.1123809523809,0.0,0.0,0.0,0.0,2483.6093748132757,1592.0018894532145
3,0.13,1.0,0.0,110082637079.48518,1487934328.303825,606.1123809523809,0.0,0.0,0.0,0.0,2371.952708084157,1585.8660096618519
4,0.13,1.0,0.0,101255924879.06639,1480310172.7262948,606.1123809523809,0.0,0.0,0.0,0.0,2310.75306038848,1609.597772359454
5,0.408,1.0,0.0,98898947840.77832,1432517240.5186348,606.1123809523809,0.0,0.0,0.0,0.0,2283.232796496811,1628.0866540333648
6,0.408,1.0,0.0,98898947840.77832,1432517240.5186348,606.1123809523809,0.0,0.0,0.0,0.0,2254.2697178893923,1628.2589895955632
7,0.408,1.0,0.0,98898947840.77832,1432517240.5186348,606.1123809523809,0.0,0.0,0.0,0.0,2179.55401927766,1594.2345493112098
8,0.408,1.0,0.0,98898947840.77832,1419511700.325383,606.1123809523809,0.0,0.0,0.0,0.0,2157.392557526407,1588.7382155979374
9,0.408,1.0,0.0,98898947840.77832,1419511700.325383,606.1123809523809,0.0,0.0,0.0,0.0,2101.8586048240477,1552.6281603857908
10,0.4375,1.0,0.0,98898947840.77832,1419511700.325383,606.1123809523809,0.0,0.0,0.0,0.0,2076.0482933958174,1529.6072169953113
11,0.4375,1.0,0.0,98898947840.77832,1407751449.2147188,606.1123809523809,0.0,0.0,0.0,0.0,2067.074251724903,1537.2721364289282
12,0.4375,1.0,0.0,98898947840.77832,1407751449.2147188,606.1123809523809,0.0,0.0,0.0,0.0,2081.7490323397024,1556.2596916449177
13,0.4375,1.0,0.0,87617918807.64568,1407751449.2147188,606.1123809523809,0.0,0.0,0.0,0.0,2074.4326819030275,1563.7135182061793
14,0.4375,1.0,0.0,87617918807.64568,1407751449.2147188,606.1123809523809,0.0,0.0,0.0,0.0,2083.187204580822,1582.394794550107
15,0.4795,1.0,0.0,87617918807.64568,1407751449.2147188,606.1123809523809,0.0,0.0,0.0,0.0,2124.4724877380345,1609.419451713703
16,0.4795,1.0,0.0,87617918807.64568,1400471613.0126595,606.1123809523809,0.0,0.0,0.0,0.0,2060.906192236168,1584.3111799973422
17,0.4795,1.0,0.0,87617918807.64568,1399765523.6721966,606.1123809523809,0.0,0.0,0.0,0.0,2020.237167882827,1578.3615954400693
18,0.4795,1.0,0.0,86113597716.37907,1399765523.6721966,606.1123809523809,0.0,0.0,0.0,0.0,1988.0372766780658,1565.9240195863115
19,0.4795,1.0,0.0,86113597716.37907,1399765523.6721966,606.1123809523809,0.0,0.0,0.0,0.0,1946.3111232982467,1539.6487501216257
20,0.503,1.0,0.0,86113597716.37907,1399765523.6721966,606.1123809523809,0.0,0.0,0.0,0.0,1933.807731265268,1534.8323675438598
21,0.503,1.0,0.0,86113597716.37907,1399765523.6721966,606.1123809523809,0.0,0.0,0.0,0.0,1934.763980940807,1547.7615928466869
22,0.503,1.0,0.0,84614442443.07416,1398314054.7761104,606.1123809523809,0.0,0.0,0.0,0.0,1911.0422495123476,1536.397055843285
23,0.503,1.0,0.0,84614442443.07416,1386486970.9904323,606.1123809523809,0.0,0.0,0.0,0.0,1953.0941258414955,1562.7651135858832
24,0.503,1.0,0.0,84614442443.07416,1386486970.9904323,606.1123809523809,0.0,0.0,0.0,0.0,1920.7370848342466,1537.40041979691
25,0.518,1.0,0.0,84614442443.07416,1386486970.9904323,606.1123809523809,0.0,0.0,0.0,0.0,1942.1700594934007,1548.872074292374
26,0.518,1.0,0.0,84614442443.07416,1376874538.3635428,606.1123809523809,0.0,0.0,0.0,0.0,1961.2152564053667,1566.3455779761653
27,0.518,1.0,0.0,84614442443.07416,1376874538.3635428,606.1123809523809,0.0,0.0,0.0,0.0,1866.8713033173078,1529.9482527937855
28,0.518,1.0,0.0,84614442443.07416,1376874538.3635428,591.7,0.0,0.0,0.0,0.0,1833.8301272955525,1513.7178044925731
