scenario_id,batch_k,capacity_scale,runs,pop,gen,P_star_size,HV_mean,HV_std,IGD_mean,IGD_std,Spacing_mean,Spacing_std,final_feas_ratio_mean,runtime_s_mean,runtime_s_std,best_run_idx,best_run_HV
S0,10,0.5,30,75,160,127,0.1690333333333333,0.19821675565456676,0.7533304688980547,0.327270391866926,0.02024188241521519,0.014485181319841582,1.0,28.923444871701456,1.6313521892347165,25,0.8805
S1,10,1.0,30,75,160,127,0.1690333333333333,0.19821675565456676,0.7533304688980547,0.327270391866926,0.02024188241521519,0.014485181319841582,1.0,28.97785778066803,1.588548134393761,25,0.8805
S2,10,2.0,30,75,160,127,0.1690333333333333,0.19821675565456676,0.7533304688980547,0.327270391866926,0.02024188241521519,0.014485181319841582,1.0,29.005601531833722,1.5978116771022666,25,0.8805
S3,20,0.5,30,75,160,346,0.2925833333333333,0.18650496344303788,0.4681410047653972,0.29286021819497965,0.017557111612029275,0.0079487182601302,1.0,53.33835214866752,3.4885634430364973,8,0.609
S4,20,1.0,30,75,160,346,0.2925833333333333,0.18650496344303788,0.4681410047653972,0.29286021819497965,0.017557111612029275,0.0079487182601302,1.0,53.4963728354652,3.461764620360611,8,0.609
S5,20,2.0,30,75,160,346,0.2925833333333333,0.18650496344303788,0.4681410047653972,0.29286021819497965,0.017557111612029275,0.0079487182601302,1.0,53.98552120386448,3.4760442935079463,8,0.609
S6,30,0.5,30,75,160,137,0.15181666666666666,0.2047509659453541,0.8472473430235589,0.3386310905927392,0.02380392116526849,0.01625859536245118,1.0,77.27359643579693,4.89333282258624,8,0.876
S7,30,1.0,30,75,160,137,0.15181666666666666,0.2047509659453541,0.8472473430235589,0.3386310905927392,0.02380392116526849,0.01625859536245118,1.0,77.12799191709976,4.84110831438462,8,0.876
S8,30,2.0,30,75,160,137,0.15181666666666666,0.2047509659453541,0.8472473430235589,0.3386310905927392,0.02380392116526849,0.01625859536245118,1.0,77.0531703025646,4.871247867455363,8,0.876
S9,50,0.5,30,75,160,163,0.12710000000000002,0.1977913210094585,0.9136225030267485,0.3940708721705199,0.01850619612165301,0.012034386826122777,1.0,124.73923003743403,9.038875977497995,8,0.7975
S10,50,1.0,30,75,160,163,0.12710000000000002,0.1977913210094585,0.9136225030267485,0.3940708721705199,0.01850619612165301,0.012034386826122777,1.0,124.9873314837964,9.321037030030872,8,0.7975
S11,50,2.0,30,75,160,163,0.12710000000000002,0.1977913210094585,0.9136225030267485,0.3940708721705199,0.01850619612165301,0.012034386826122777,1.0,125.90325577676607,9.20348269458848,8,0.7975
