case_id,scenario,union_solutions,ny_nj_using_solutions,ny_nj_activation_pct,ny_nj_share_min_pct_when_used,ny_nj_share_mean_pct_when_used,ny_nj_share_max_pct_when_used
D1,pilot_baseline,84,0,0.0,0.0,0.0,0.0
D1,uswc_port_capacity_675pct,80,0,0.0,0.0,0.0,0.0
D1,uswc_departure_delay_240h,9,5,55.55555555555556,0.7440834932240682,0.7532360717692422,0.7591506701319538
D1,uswc_departure_delay_336h,20,20,100.0,67.13069961524323,71.39081743442264,74.19557773144085
D1,uswc_compound_30pct_delay_168h,3,3,100.0,17.619157759867665,17.89981487171764,18.16948534013353
D1,uswc_compound_40pct_delay_168h,5,5,100.0,4.279491354954565,6.192801904059686,8.572167489144636
D2,pilot_baseline,68,0,0.0,0.0,0.0,0.0
D2,uswc_port_capacity_675pct,83,0,0.0,0.0,0.0,0.0
D2,uswc_departure_delay_240h,9,9,100.0,0.7959674239719066,1.2392010742164823,2.033880502363454
D2,uswc_departure_delay_336h,5,5,100.0,67.2522180299833,67.750721076952,68.5116298882492
D2,uswc_compound_30pct_delay_168h,4,4,100.0,15.274425621441459,17.3165566761398,18.649734841131135
D2,uswc_compound_40pct_delay_168h,4,4,100.0,10.882404299338152,12.58884335087692,14.417530593719055
D3,pilot_baseline,71,0,0.0,0.0,0.0,0.0
D3,uswc_port_capacity_675pct,75,0,0.0,0.0,0.0,0.0
D3,uswc_departure_delay_240h,11,11,100.0,24.17106421657319,26.14488818227895,28.130255448966302
D3,uswc_departure_delay_336h,23,23,100.0,77.43189459580832,83.61849126572295,89.89989032061764
D3,uswc_compound_30pct_delay_168h,10,10,100.0,42.59903028778619,45.10712163631276,50.22745642088851
D3,uswc_compound_40pct_delay_168h,2,2,100.0,35.12590064265333,35.588734765662956,36.051568888672584
