case_id,scenario,runs,successful_runs,success_rate,union_front_size,cost_median_usd,cost_change_pct_vs_baseline,weighted_mean_delivery_time_median_h,delivery_time_change_h_vs_baseline,best_cost_usd,best_weighted_mean_delivery_time_h
D1,pilot_baseline,30,30,1.0,84,25356256.0842871,0.0,623.5874171437874,0.0,24842445.19812098,615.6406286172274
D1,uswc_port_capacity_675pct,30,30,1.0,80,25356256.0842871,0.0,623.5874171437874,0.0,24842445.19812098,618.5277925788452
D1,uswc_departure_delay_240h,30,30,1.0,9,64737971.327066824,155.3136043107878,843.2081512310824,219.62073408729498,64369302.18211224,842.7569994072766
D1,uswc_departure_delay_336h,30,30,1.0,20,83289601.54967162,228.47752157419237,911.2353699859168,287.64795284212937,82929769.21975762,909.832112505777
D1,uswc_compound_30pct_delay_168h,30,30,1.0,3,60401867.731110185,138.21287941850508,840.7909689239095,217.2035517801221,59604141.85182337,839.107531905242
D1,uswc_compound_40pct_delay_168h,30,30,1.0,5,56242678.087818414,121.80986775358834,824.96675546594,201.37933832215253,55008374.97447692,822.9712636347549
D2,pilot_baseline,30,30,1.0,68,25277711.995491184,0.0,622.7134638938032,0.0,25042488.426821988,614.2157580011346
D2,uswc_port_capacity_675pct,30,30,1.0,83,25257890.58900448,-0.07841455939620046,623.797380801554,1.0839169077507904,25042488.426821988,615.8909096415874
D2,uswc_departure_delay_240h,30,30,1.0,9,64420080.13864241,154.8493318941726,846.2130186360326,223.4995547422294,63849495.517318726,845.5125965654852
D2,uswc_departure_delay_336h,30,30,1.0,5,85539105.53313908,238.397342086961,912.6553214920204,289.9418575982172,85289339.79874822,911.5207534844031
D2,uswc_compound_30pct_delay_168h,30,30,1.0,4,61944276.53001292,145.05491850315408,843.7851195279131,221.0716556341099,60899943.658607885,842.6801379806152
D2,uswc_compound_40pct_delay_168h,30,30,1.0,4,56849728.53609352,124.90061025394179,825.510335037188,202.7968711433848,55515460.14484352,823.1522450227264
D3,pilot_baseline,30,30,1.0,71,27130204.126386963,0.0,635.1141538966688,0.0,26576332.611434035,628.0642444823245
D3,uswc_port_capacity_675pct,30,30,1.0,75,27142978.874070935,0.04708681005296533,638.4842947405587,3.370140843889885,26576332.611434035,630.9836700595109
D3,uswc_departure_delay_240h,30,30,1.0,11,69709436.7932711,156.94401880843708,857.4333825966512,222.31922869998243,69321736.3166114,856.937508539805
D3,uswc_departure_delay_336h,30,30,1.0,23,80426688.5335727,196.44704536280778,907.7149495056296,272.6007956089609,79934925.57176837,906.7543209703651
D3,uswc_compound_30pct_delay_168h,30,30,1.0,10,62946655.85550001,132.01688996610903,845.1630706405119,210.04891674384317,62039621.191734664,843.6059153193879
D3,uswc_compound_40pct_delay_168h,30,30,1.0,2,59090648.72477777,117.8039223350551,829.1523024876433,194.03814859097452,58077654.25760909,826.6778711085142
