case_id,scenario,union_solutions,ny_nj_using_solutions,ny_nj_activation_pct,ny_nj_share_min_pct_when_used,ny_nj_share_mean_pct_when_used,ny_nj_share_max_pct_when_used
D1,pilot_baseline,84,0,0.0,0.0,0.0,0.0
D1,uswc_compound_35pct_delay_168h,5,5,100.0,4.397699741169244,5.6133797666893885,6.838069833892385
D1,uswc_departure_delay_264h,6,6,100.0,4.2175588494833525,6.586355281356191,8.06279712803441
D1,uswc_departure_delay_288h,24,24,100.0,32.750465296739,38.997876722823904,50.55642546438429
D1,uswc_departure_delay_312h,21,21,100.0,66.43039898172907,67.13507832839647,67.55590050997291
D2,pilot_baseline,68,0,0.0,0.0,0.0,0.0
D2,uswc_compound_35pct_delay_168h,8,8,100.0,6.880027489630347,10.827685171961544,16.971410098540083
D2,uswc_departure_delay_264h,19,19,100.0,12.46526566424466,19.27957267372836,26.037149486738464
D2,uswc_departure_delay_288h,12,12,100.0,31.72447849890266,32.357813365358716,32.78838428053307
D2,uswc_departure_delay_312h,33,33,100.0,33.45919678416461,43.643760998136365,53.758933319882
