case_id,scenario,seed,metric,unit,baseline_value,scenario_value,paired_difference,paired_difference_pct
D1,uswc_compound_35pct_delay_168h,20260906,total_cost_usd,USD,24842445.19812098,58862954.49770868,34020509.2995877,136.94509146853596
D1,uswc_compound_35pct_delay_168h,20260907,total_cost_usd,USD,25515584.528721776,57107493.146890424,31591908.61816865,123.8141677005558
D1,uswc_compound_35pct_delay_168h,20260908,total_cost_usd,USD,25569653.57766146,57653750.844348654,32084097.266687196,125.47724656980486
D1,uswc_compound_35pct_delay_168h,20260909,total_cost_usd,USD,25186500.8418719,58105082.48183204,32918581.639960144,130.69930534071594
D1,uswc_compound_35pct_delay_168h,20260910,total_cost_usd,USD,25543194.307037503,58278235.06619073,32735040.759153225,128.15562676174088
D1,uswc_compound_35pct_delay_168h,20260911,total_cost_usd,USD,25452940.511781923,58057368.895861454,32604428.38407953,128.0969024737525
D1,uswc_compound_35pct_delay_168h,20260912,total_cost_usd,USD,25232421.79304781,57946925.495711975,32714503.702664163,129.6526507482443
D1,uswc_compound_35pct_delay_168h,20260913,total_cost_usd,USD,25677113.651315615,57867639.863819204,32190526.21250359,125.36660720374329
D1,uswc_compound_35pct_delay_168h,20260914,total_cost_usd,USD,25641665.444374107,57704329.5453037,32062664.100929596,125.0412699225209
D1,uswc_compound_35pct_delay_168h,20260915,total_cost_usd,USD,25546508.438125897,59009608.98342834,33463100.54530244,130.98893974630886
D1,uswc_compound_35pct_delay_168h,20260916,total_cost_usd,USD,25224257.32314798,58141455.23026474,32917197.90711676,130.49818468553707
D1,uswc_compound_35pct_delay_168h,20260917,total_cost_usd,USD,25323906.030142374,57872976.09726713,32549070.067124754,128.53100160924012
D1,uswc_compound_35pct_delay_168h,20260918,total_cost_usd,USD,25439066.657839645,58062859.1885407,32623792.530701052,128.24288315879414
D1,uswc_compound_35pct_delay_168h,20260919,total_cost_usd,USD,25535165.286814276,58198976.80752197,32663811.520707693,127.91697705428393
D1,uswc_compound_35pct_delay_168h,20260920,total_cost_usd,USD,25320529.721365545,58983884.04639558,33663354.32503003,132.94885492314478
D1,uswc_compound_35pct_delay_168h,20260921,total_cost_usd,USD,25593553.10810194,56733001.576559626,31139448.468457684,121.6691107206999
D1,uswc_compound_35pct_delay_168h,20260922,total_cost_usd,USD,25234968.73262493,57547555.16110508,32312586.428480152,128.0468653274175
