case_id,scenario,metric,unit,paired_runs,baseline_mean,scenario_mean,mean_paired_difference,mean_paired_difference_pct,median_paired_difference,median_paired_difference_pct,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_median_ci_low,bootstrap_median_ci_high,paired_cohens_dz,positive_differences,negative_differences,ties,exact_sign_test_p_value,holm_adjusted_p_value
D1,uswc_compound_35pct_delay_168h,total_cost_usd,USD,30,25374353.618004277,57914430.053940915,32540076.435936633,128.25578633131767,32527228.617618628,128.071883900585,32303008.093208272,32792111.409933228,32181881.847609952,32721137.00506255,47.031080968772336,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D1,uswc_compound_35pct_delay_168h,weighted_mean_delivery_time_h,h,30,623.7584121204919,832.3286880263955,208.5702759059036,33.44252880892497,208.80481777303294,33.57376109532862,207.17867374760618,209.9440821962392,206.59240224077269,210.3254629674849,52.51126636035937,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D1,uswc_departure_delay_264h,total_cost_usd,USD,30,25374353.618004277,73054576.82187003,47680223.20386575,187.92253284044844,47635860.357520014,187.351188933612,47587341.50251976,47779328.83543067,47548797.09432453,47759357.87751643,176.52158866633837,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D1,uswc_departure_delay_264h,weighted_mean_delivery_time_h,h,30,623.7584121204919,870.2577833322363,246.49937121174437,39.52350431942208,246.82422122468068,39.58135962207973,245.11553058143846,247.86434506234392,244.82365907349254,249.19251099304716,64.45120107916343,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D1,uswc_departure_delay_288h,total_cost_usd,USD,30,25374353.618004277,78802955.98368819,53428602.36568392,210.5778742555555,53430009.3166772,210.7367202048069,53346761.09806117,53513750.592372306,53316095.201801345,53552949.25884404,227.20049452327862,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D1,uswc_departure_delay_288h,weighted_mean_delivery_time_h,h,30,623.7584121204919,888.2771340826345,264.51872196214254,42.41236653692786,264.53133235021477,42.401560266703044,263.1600945483555,265.8692227028511,262.97931796585,266.73954684138715,69.05009692028837,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D1,uswc_departure_delay_312h,total_cost_usd,USD,30,25374353.618004277,80963223.67500919,55588870.05700491,219.0913158505485,55553318.15023884,218.9723774262631,55524712.95689959,55659187.92683549,55465600.9830692,55684132.79960375,288.9161416376222,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D1,uswc_departure_delay_312h,weighted_mean_delivery_time_h,h,30,623.7584121204919,901.9867802618152,278.2283681413233,44.6105274001511,278.4617778700034,44.67534363047365,276.83594829416785,279.6435193090096,276.3203428078401,280.9376587204483,70.60858943120067,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_compound_35pct_delay_168h,total_cost_usd,USD,30,25299775.72484737,59165374.00964546,33865598.28479809,133.86557653797647,33902507.996776044,134.07115513849305,33629377.19129855,34087485.001444176,33790068.19957721,34153467.881109506,52.74103056231655,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_compound_35pct_delay_168h,weighted_mean_delivery_time_h,h,30,621.9592710057958,834.1679622315249,212.20869122572907,34.12348775498405,212.11988559329257,34.08458522723054,210.90434928131208,213.54551732198524,210.6038929657251,213.1510008662368,56.822465601786085,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_departure_delay_264h,total_cost_usd,USD,30,25299775.72484737,72445598.30820775,47145822.58336038,186.3597367809457,47175693.26005733,186.7679299443579,47048327.19969278,47241782.54993774,47028717.35376008,47298328.54224479,171.24148231825242,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_departure_delay_264h,weighted_mean_delivery_time_h,h,30,621.9592710057958,870.972420940047,249.01314993425112,40.04110691606027,248.5520744414784,39.90531529467513,247.80920715438975,250.27489557711704,247.56349500740936,250.12561201865788,70.92788898273888,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_departure_delay_288h,total_cost_usd,USD,30,25299775.72484737,78158627.87747167,52858852.1526243,208.94457231812007,52848254.44952892,209.04292433198123,52764758.04567208,52952480.38620992,52764148.04037501,52971748.19344571,200.11234540663324,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_departure_delay_288h,weighted_mean_delivery_time_h,h,30,621.9592710057958,886.8674131242486,264.90814211845276,42.5967679272563,264.59019084998266,42.45923340105266,263.67824015008773,266.1432533549541,263.1887838399418,265.9545383416178,75.3234076396802,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_departure_delay_312h,total_cost_usd,USD,30,25299775.72484737,83096786.12358293,57797010.39873557,228.46348859041046,57786155.260288574,228.58928965189492,57729899.51118682,57865785.97049517,57722529.17809497,57900332.945518024,296.18633093970016,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
D2,uswc_departure_delay_312h,weighted_mean_delivery_time_h,h,30,621.9592710057958,902.8588757587905,280.89960475299466,45.16801257041488,280.0640842572663,44.93237108580797,279.7114190071544,282.18085270481345,279.395818144435,282.034695238647,80.2601666089471,30,0,0,1.862645149230957e-09,2.9802322387695312e-08
