case_id,scenario,runs,successful_runs,success_rate,union_front_size,cost_median_usd,cost_change_pct_vs_baseline,weighted_mean_delivery_time_median_h,delivery_time_change_h_vs_baseline,best_cost_usd,best_weighted_mean_delivery_time_h
D1,pilot_baseline,30,30,1.0,84,25356256.0842871,0.0,623.5874171437874,0.0,24842445.19812098,615.6406286172274
D1,uswc_compound_35pct_delay_168h,30,30,1.0,5,57870307.98054317,128.22891434829984,832.2218107769081,208.63439363312068,56733001.576559626,829.5984038396845
D1,uswc_departure_delay_264h,30,30,1.0,6,73057368.14809035,188.12364059283547,870.2744570575236,246.68703991373616,72731464.43192534,870.0631984982109
D1,uswc_departure_delay_288h,30,30,1.0,24,78779109.57072288,210.68904379594565,888.1705108242454,264.583093680458,78542839.12896906,887.0435716556977
D1,uswc_departure_delay_312h,30,30,1.0,21,80964839.50750338,219.30912528398113,901.9142889254493,278.3268717816619,80785001.55959193,901.2314097991348
D2,pilot_baseline,30,30,1.0,68,25277711.995491184,0.0,622.7134638938032,0.0,25042488.426821988,614.2157580011346
D2,uswc_compound_35pct_delay_168h,30,30,1.0,8,59192873.60300453,134.17021925703892,833.9502515427675,211.2367876489643,57434279.83125333,832.3766688412336
D2,uswc_departure_delay_264h,30,30,1.0,19,72496170.24341398,186.79878248610956,870.974779386793,248.26131549298975,71845630.0229117,870.1199623175451
D2,uswc_departure_delay_288h,30,30,1.0,12,78137774.25766948,209.11727403020893,886.7849730571841,264.0715091633808,77862807.09652655,885.6760227759268
D2,uswc_departure_delay_312h,30,30,1.0,33,83087339.7034888,228.6980234536622,902.7766029443815,280.06313905057823,82945224.03710312,901.8733374295607
