id,origin,destination,mode,transit_time_h,cost_usd_per_feu,distance_km,capacity_feu_per_day,service_ids,planning_wait_h,via_panama,source_sheet,source_row
cn-r-01,xian,shanghai,rail,30.4,730.62,1217.7,1000.0,tt-cn-01,21.0,0,Arcs_All,4
cn-d-01,xian,shanghai,road,22.7,1090.96,1363.7,1500.0,,0,0,Arcs_All,5
cn-r-02,xian,ningbo,rail,32.1,769.74,1282.9,1000.0,tt-cn-02,21.0,0,Arcs_All,6
cn-d-02,xian,ningbo,road,24.2,1162.32,1452.9,1500.0,,0,0,Arcs_All,7
sea-01,shanghai,la_lb,ocean,336.0,5861.76,10879.0,2500.0,tt-sea-01,84.0,0,Arcs_All,8
sea-02,ningbo,la_lb,ocean,384.0,5861.76,10764.0,2500.0,tt-sea-02,84.0,0,Arcs_All,9
sea-03,shanghai,seattle_tacoma,ocean,390.0,5861.76,9647.0,2500.0,tt-sea-03,84.0,0,Arcs_All,10
sea-04,ningbo,seattle_tacoma,ocean,360.0,5861.76,9074.0,2500.0,tt-sea-04,84.0,0,Arcs_All,11
sea-05,shanghai,ny_nj,ocean,672.0,7482.0,19598.0,2500.0,tt-sea-05,84.0,1,Arcs_All,12
sea-06,ningbo,ny_nj,ocean,720.0,7482.0,19883.0,2500.0,tt-sea-06,84.0,1,Arcs_All,13
us-r-01,la_lb,chicago,rail,76.0,2801.0,3243.0,1000.0,tt-us-01,16.8,0,Arcs_All,14
us-d-01,la_lb,chicago,road,54.0,5904.28,3243.0,1500.0,,0,0,Arcs_All,15
us-r-02,la_lb,memphis,rail,96.0,2493.52,2887.0,1000.0,tt-us-02,16.8,0,Arcs_All,16
us-d-02,la_lb,memphis,road,48.1,5256.14,2887.0,1500.0,,0,0,Arcs_All,17
us-r-03,la_lb,columbus,rail,115.0,3110.22,3601.0,1000.0,tt-us-03,16.8,0,Arcs_All,18
us-d-03,la_lb,columbus,road,60.0,6556.06,3601.0,1500.0,,0,0,Arcs_All,19
us-r-04,seattle_tacoma,chicago,rail,132.0,2869.24,3322.0,1000.0,tt-us-04,16.8,0,Arcs_All,20
us-d-04,seattle_tacoma,chicago,road,55.4,6048.1,3322.0,1500.0,,0,0,Arcs_All,21
us-r-05,seattle_tacoma,memphis,rail,144.0,3179.3,3681.0,1000.0,tt-us-05,16.8,0,Arcs_All,22
us-d-05,seattle_tacoma,memphis,road,61.4,6701.72,3681.0,1500.0,,0,0,Arcs_All,23
us-r-06,seattle_tacoma,columbus,rail,156.0,3321.82,3846.0,1000.0,tt-us-06,16.8,0,Arcs_All,24
us-d-06,seattle_tacoma,columbus,road,64.1,7002.12,3846.0,1500.0,,0,0,Arcs_All,25
us-r-07,ny_nj,chicago,rail,84.0,1106.42,1281.0,1000.0,tt-us-07,14.0,0,Arcs_All,26
us-d-07,ny_nj,chicago,road,21.4,2332.22,1281.0,1500.0,,0,0,Arcs_All,27
us-r-08,ny_nj,memphis,rail,96.0,1523.58,1764.0,1000.0,tt-us-08,14.0,0,Arcs_All,28
us-d-08,ny_nj,memphis,road,29.4,3211.58,1764.0,1500.0,,0,0,Arcs_All,29
us-r-09,ny_nj,columbus,rail,72.0,745.38,863.0,1000.0,tt-us-09,14.0,0,Arcs_All,30
us-d-09,ny_nj,columbus,road,14.4,1571.2,863.0,1500.0,,0,0,Arcs_All,31
