id,arc_id,departures_h,repeat_every_h,capacity_feu,cutoff_h,source_sheet,source_rows
tt-cn-01,cn-r-01,8|50|92|134|176|218|260|302|344|386|428|470|512|554|596|638|680|722|764|806|848|890|932|974|1016|1058|1100|1142|1184|1226|1268|1310,1344,1750.0,0,Service_Departures_8wk,4:499
tt-cn-02,cn-r-02,8|50|92|134|176|218|260|302|344|386|428|470|512|554|596|638|680|722|764|806|848|890|932|974|1016|1058|1100|1142|1184|1226|1268|1310,1344,1750.0,0,Service_Departures_8wk,4:499
tt-sea-01,sea-01,24|192|360|528|696|864|1032|1200,1344,17500.0,0,Service_Departures_8wk,4:499
tt-sea-02,sea-02,24|192|360|528|696|864|1032|1200,1344,17500.0,0,Service_Departures_8wk,4:499
tt-sea-03,sea-03,24|192|360|528|696|864|1032|1200,1344,17500.0,0,Service_Departures_8wk,4:499
tt-sea-04,sea-04,24|192|360|528|696|864|1032|1200,1344,17500.0,0,Service_Departures_8wk,4:499
tt-sea-05,sea-05,24|192|360|528|696|864|1032|1200,1344,17500.0,0,Service_Departures_8wk,4:499
tt-sea-06,sea-06,24|192|360|528|696|864|1032|1200,1344,17500.0,0,Service_Departures_8wk,4:499
tt-us-01,us-r-01,12|45.6|79.2|112.8|146.4|180|213.6|247.2|280.8|314.4|348|381.6|415.2|448.8|482.4|516|549.6|583.2|616.8|650.4|684|717.6|751.2|784.8|818.4|852|885.6|919.2|952.8|986.4|1020|1053.6|1087.2|1120.8|1154.4|1188|1221.6|1255.2|1288.8|1322.4,1344,1400.0,0,Service_Departures_8wk,4:499
tt-us-02,us-r-02,12|45.6|79.2|112.8|146.4|180|213.6|247.2|280.8|314.4|348|381.6|415.2|448.8|482.4|516|549.6|583.2|616.8|650.4|684|717.6|751.2|784.8|818.4|852|885.6|919.2|952.8|986.4|1020|1053.6|1087.2|1120.8|1154.4|1188|1221.6|1255.2|1288.8|1322.4,1344,1400.0,0,Service_Departures_8wk,4:499
tt-us-03,us-r-03,12|45.6|79.2|112.8|146.4|180|213.6|247.2|280.8|314.4|348|381.6|415.2|448.8|482.4|516|549.6|583.2|616.8|650.4|684|717.6|751.2|784.8|818.4|852|885.6|919.2|952.8|986.4|1020|1053.6|1087.2|1120.8|1154.4|1188|1221.6|1255.2|1288.8|1322.4,1344,1400.0,0,Service_Departures_8wk,4:499
tt-us-04,us-r-04,12|45.6|79.2|112.8|146.4|180|213.6|247.2|280.8|314.4|348|381.6|415.2|448.8|482.4|516|549.6|583.2|616.8|650.4|684|717.6|751.2|784.8|818.4|852|885.6|919.2|952.8|986.4|1020|1053.6|1087.2|1120.8|1154.4|1188|1221.6|1255.2|1288.8|1322.4,1344,1400.0,0,Service_Departures_8wk,4:499
tt-us-05,us-r-05,12|45.6|79.2|112.8|146.4|180|213.6|247.2|280.8|314.4|348|381.6|415.2|448.8|482.4|516|549.6|583.2|616.8|650.4|684|717.6|751.2|784.8|818.4|852|885.6|919.2|952.8|986.4|1020|1053.6|1087.2|1120.8|1154.4|1188|1221.6|1255.2|1288.8|1322.4,1344,1400.0,0,Service_Departures_8wk,4:499
tt-us-06,us-r-06,12|45.6|79.2|112.8|146.4|180|213.6|247.2|280.8|314.4|348|381.6|415.2|448.8|482.4|516|549.6|583.2|616.8|650.4|684|717.6|751.2|784.8|818.4|852|885.6|919.2|952.8|986.4|1020|1053.6|1087.2|1120.8|1154.4|1188|1221.6|1255.2|1288.8|1322.4,1344,1400.0,0,Service_Departures_8wk,4:499
tt-us-07,us-r-07,10|38|66|94|122|150|178|206|234|262|290|318|346|374|402|430|458|486|514|542|570|598|626|654|682|710|738|766|794|822|850|878|906|934|962|990|1018|1046|1074|1102|1130|1158|1186|1214|1242|1270|1298|1326,1344,1166.6666666666667,0,Service_Departures_8wk,4:499
tt-us-08,us-r-08,10|38|66|94|122|150|178|206|234|262|290|318|346|374|402|430|458|486|514|542|570|598|626|654|682|710|738|766|794|822|850|878|906|934|962|990|1018|1046|1074|1102|1130|1158|1186|1214|1242|1270|1298|1326,1344,1166.6666666666667,0,Service_Departures_8wk,4:499
tt-us-09,us-r-09,10|38|66|94|122|150|178|206|234|262|290|318|346|374|402|430|458|486|514|542|570|598|626|654|682|710|738|766|794|822|850|878|906|934|962|990|1018|1046|1074|1102|1130|1158|1186|1214|1242|1270|1298|1326,1344,1166.6666666666667,0,Service_Departures_8wk,4:499
