id,origin,destination,quantity_feu,release_h,due_h,tardiness_usd_per_feu_h,case_id,source_batch_id,source_sheet,source_row
D1-01,xian,chicago,60.0,0.0,660.0,200.0,D1,1,Batches_Chicago,4
D1-02,xian,chicago,55.0,0.0,672.0,184.44,D1,2,Batches_Chicago,5
D1-03,xian,chicago,50.0,0.0,684.0,168.88,D1,3,Batches_Chicago,6
D1-04,xian,chicago,47.5,0.0,696.0,153.34,D1,4,Batches_Chicago,7
D1-05,xian,chicago,65.0,0.0,708.0,137.78,D1,5,Batches_Chicago,8
D1-06,xian,chicago,57.5,0.0,720.0,122.22,D1,6,Batches_Chicago,9
D1-07,xian,chicago,52.5,0.0,732.0,106.66,D1,7,Batches_Chicago,10
D1-08,xian,chicago,45.0,0.0,744.0,91.12,D1,8,Batches_Chicago,11
D1-09,xian,chicago,62.5,0.0,756.0,75.56,D1,9,Batches_Chicago,12
D1-10,xian,chicago,70.0,0.0,768.0,60.0,D1,10,Batches_Chicago,13
D1-11,xian,chicago,40.5,0.0,754.0,125.42,D1,11,Batches_Chicago,14
D1-12,xian,chicago,62.5,0.0,701.0,170.68,D1,12,Batches_Chicago,15
D1-13,xian,chicago,65.5,0.0,668.0,151.38,D1,13,Batches_Chicago,16
D1-14,xian,chicago,45.5,0.0,814.0,188.78,D1,14,Batches_Chicago,17
D1-15,xian,chicago,61.0,0.0,775.0,132.12,D1,15,Batches_Chicago,18
D1-16,xian,chicago,63.0,0.0,718.0,107.44,D1,16,Batches_Chicago,19
D1-17,xian,chicago,45.0,0.0,677.0,133.62,D1,17,Batches_Chicago,20
D1-18,xian,chicago,49.5,0.0,758.0,61.8,D1,18,Batches_Chicago,21
D1-19,xian,chicago,75.0,0.0,703.0,87.36,D1,19,Batches_Chicago,22
D1-20,xian,chicago,51.5,0.0,716.0,102.0,D1,20,Batches_Chicago,23
D1-21,xian,chicago,73.0,0.0,797.0,171.64,D1,21,Batches_Chicago,24
D1-22,xian,chicago,47.0,0.0,699.0,192.56,D1,22,Batches_Chicago,25
D1-23,xian,chicago,61.0,0.0,716.0,186.06,D1,23,Batches_Chicago,26
D1-24,xian,chicago,54.0,0.0,764.0,103.94,D1,24,Batches_Chicago,27
D1-25,xian,chicago,43.5,0.0,765.0,91.9,D1,25,Batches_Chicago,28
D1-26,xian,chicago,56.5,0.0,743.0,86.44,D1,26,Batches_Chicago,29
D1-27,xian,chicago,74.5,0.0,737.0,147.02,D1,27,Batches_Chicago,30
D1-28,xian,chicago,52.5,0.0,713.0,129.28,D1,28,Batches_Chicago,31
D1-29,xian,chicago,41.0,0.0,760.0,140.8,D1,29,Batches_Chicago,32
D1-30,xian,chicago,68.0,0.0,636.0,171.16,D1,30,Batches_Chicago,33
D1-31,xian,chicago,66.5,0.0,696.0,130.0,D1,31,Batches_Chicago,34
D1-32,xian,chicago,46.0,0.0,803.0,198.56,D1,32,Batches_Chicago,35
D1-33,xian,chicago,49.0,0.0,702.0,162.2,D1,33,Batches_Chicago,36
D1-34,xian,chicago,53.0,0.0,740.0,118.32,D1,34,Batches_Chicago,37
D1-35,xian,chicago,58.0,0.0,813.0,184.38,D1,35,Batches_Chicago,38
D1-36,xian,chicago,50.5,0.0,665.0,192.58,D1,36,Batches_Chicago,39
D1-37,xian,chicago,41.0,0.0,691.0,99.42,D1,37,Batches_Chicago,40
D1-38,xian,chicago,42.0,0.0,726.0,73.0,D1,38,Batches_Chicago,41
D1-39,xian,chicago,70.0,0.0,747.0,128.8,D1,39,Batches_Chicago,42
D1-40,xian,chicago,56.5,0.0,740.0,184.66,D1,40,Batches_Chicago,43
D2-01,xian,memphis,60.0,0.0,660.0,200.0,D2,1,Batches_Memphis,4
D2-02,xian,memphis,55.0,0.0,672.0,184.44,D2,2,Batches_Memphis,5
D2-03,xian,memphis,50.0,0.0,684.0,168.88,D2,3,Batches_Memphis,6
D2-04,xian,memphis,47.5,0.0,696.0,153.34,D2,4,Batches_Memphis,7
D2-05,xian,memphis,65.0,0.0,708.0,137.78,D2,5,Batches_Memphis,8
D2-06,xian,memphis,57.5,0.0,720.0,122.22,D2,6,Batches_Memphis,9
D2-07,xian,memphis,52.5,0.0,732.0,106.66,D2,7,Batches_Memphis,10
D2-08,xian,memphis,45.0,0.0,744.0,91.12,D2,8,Batches_Memphis,11
D2-09,xian,memphis,62.5,0.0,756.0,75.56,D2,9,Batches_Memphis,12
D2-10,xian,memphis,70.0,0.0,768.0,60.0,D2,10,Batches_Memphis,13
D2-11,xian,memphis,40.5,0.0,754.0,125.42,D2,11,Batches_Memphis,14
D2-12,xian,memphis,62.5,0.0,701.0,170.68,D2,12,Batches_Memphis,15
D2-13,xian,memphis,65.5,0.0,668.0,151.38,D2,13,Batches_Memphis,16
D2-14,xian,memphis,45.5,0.0,814.0,188.78,D2,14,Batches_Memphis,17
D2-15,xian,memphis,61.0,0.0,775.0,132.12,D2,15,Batches_Memphis,18
D2-16,xian,memphis,63.0,0.0,718.0,107.44,D2,16,Batches_Memphis,19
D2-17,xian,memphis,45.0,0.0,677.0,133.62,D2,17,Batches_Memphis,20
D2-18,xian,memphis,49.5,0.0,758.0,61.8,D2,18,Batches_Memphis,21
D2-19,xian,memphis,75.0,0.0,703.0,87.36,D2,19,Batches_Memphis,22
D2-20,xian,memphis,51.5,0.0,716.0,102.0,D2,20,Batches_Memphis,23
D2-21,xian,memphis,73.0,0.0,797.0,171.64,D2,21,Batches_Memphis,24
D2-22,xian,memphis,47.0,0.0,699.0,192.56,D2,22,Batches_Memphis,25
D2-23,xian,memphis,61.0,0.0,716.0,186.06,D2,23,Batches_Memphis,26
D2-24,xian,memphis,54.0,0.0,764.0,103.94,D2,24,Batches_Memphis,27
D2-25,xian,memphis,43.5,0.0,765.0,91.9,D2,25,Batches_Memphis,28
D2-26,xian,memphis,56.5,0.0,743.0,86.44,D2,26,Batches_Memphis,29
D2-27,xian,memphis,74.5,0.0,737.0,147.02,D2,27,Batches_Memphis,30
D2-28,xian,memphis,52.5,0.0,713.0,129.28,D2,28,Batches_Memphis,31
D2-29,xian,memphis,41.0,0.0,760.0,140.8,D2,29,Batches_Memphis,32
D2-30,xian,memphis,68.0,0.0,636.0,171.16,D2,30,Batches_Memphis,33
D2-31,xian,memphis,66.5,0.0,696.0,130.0,D2,31,Batches_Memphis,34
D2-32,xian,memphis,46.0,0.0,803.0,198.56,D2,32,Batches_Memphis,35
D2-33,xian,memphis,49.0,0.0,702.0,162.2,D2,33,Batches_Memphis,36
D2-34,xian,memphis,53.0,0.0,740.0,118.32,D2,34,Batches_Memphis,37
D2-35,xian,memphis,58.0,0.0,813.0,184.38,D2,35,Batches_Memphis,38
D2-36,xian,memphis,50.5,0.0,665.0,192.58,D2,36,Batches_Memphis,39
D2-37,xian,memphis,41.0,0.0,691.0,99.42,D2,37,Batches_Memphis,40
D2-38,xian,memphis,42.0,0.0,726.0,73.0,D2,38,Batches_Memphis,41
D2-39,xian,memphis,70.0,0.0,747.0,128.8,D2,39,Batches_Memphis,42
D2-40,xian,memphis,56.5,0.0,740.0,184.66,D2,40,Batches_Memphis,43
D3-01,xian,columbus,60.0,0.0,660.0,200.0,D3,1,Batches_Columbus,4
D3-02,xian,columbus,55.0,0.0,672.0,184.44,D3,2,Batches_Columbus,5
D3-03,xian,columbus,50.0,0.0,684.0,168.88,D3,3,Batches_Columbus,6
D3-04,xian,columbus,47.5,0.0,696.0,153.34,D3,4,Batches_Columbus,7
D3-05,xian,columbus,65.0,0.0,708.0,137.78,D3,5,Batches_Columbus,8
D3-06,xian,columbus,57.5,0.0,720.0,122.22,D3,6,Batches_Columbus,9
D3-07,xian,columbus,52.5,0.0,732.0,106.66,D3,7,Batches_Columbus,10
D3-08,xian,columbus,45.0,0.0,744.0,91.12,D3,8,Batches_Columbus,11
