node_id,from_mode,to_mode,duration_h,cost_usd_per_feu,source_sheet,source_row
xian,rail,road,3.0,150.0,Transshipment_Model,4
xian,road,rail,3.0,150.0,Transshipment_Model,5
shanghai,road,ocean,12.0,250.0,Transshipment_Model,6
shanghai,ocean,road,12.0,250.0,Transshipment_Model,7
shanghai,rail,ocean,12.0,250.0,Transshipment_Model,8
shanghai,ocean,rail,12.0,250.0,Transshipment_Model,9
shanghai,road,rail,12.0,250.0,Transshipment_Model,10
shanghai,rail,road,12.0,250.0,Transshipment_Model,11
ningbo,road,ocean,12.0,250.0,Transshipment_Model,12
ningbo,ocean,road,12.0,250.0,Transshipment_Model,13
ningbo,rail,ocean,12.0,250.0,Transshipment_Model,14
ningbo,ocean,rail,12.0,250.0,Transshipment_Model,15
ningbo,road,rail,12.0,250.0,Transshipment_Model,16
ningbo,rail,road,12.0,250.0,Transshipment_Model,17
la_lb,road,ocean,12.0,250.0,Transshipment_Model,18
la_lb,ocean,road,12.0,250.0,Transshipment_Model,19
la_lb,rail,ocean,12.0,250.0,Transshipment_Model,20
la_lb,ocean,rail,12.0,250.0,Transshipment_Model,21
la_lb,road,rail,12.0,250.0,Transshipment_Model,22
la_lb,rail,road,12.0,250.0,Transshipment_Model,23
seattle_tacoma,road,ocean,12.0,250.0,Transshipment_Model,24
seattle_tacoma,ocean,road,12.0,250.0,Transshipment_Model,25
seattle_tacoma,rail,ocean,12.0,250.0,Transshipment_Model,26
seattle_tacoma,ocean,rail,12.0,250.0,Transshipment_Model,27
seattle_tacoma,road,rail,12.0,250.0,Transshipment_Model,28
seattle_tacoma,rail,road,12.0,250.0,Transshipment_Model,29
ny_nj,road,ocean,12.0,250.0,Transshipment_Model,30
ny_nj,ocean,road,12.0,250.0,Transshipment_Model,31
ny_nj,rail,ocean,12.0,250.0,Transshipment_Model,32
ny_nj,ocean,rail,12.0,250.0,Transshipment_Model,33
ny_nj,road,rail,12.0,250.0,Transshipment_Model,34
ny_nj,rail,road,12.0,250.0,Transshipment_Model,35
