case_id,scenario,seed,point_id,total_cost_usd,makespan_h
D1,pilot_baseline,20260906,1,26938707.634903323,748.8
D1,pilot_baseline,20260907,1,26150927.072219223,897.4
D1,pilot_baseline,20260907,2,26243016.909720346,748.8
D1,pilot_baseline,20260908,1,26076515.954427715,897.4
D1,pilot_baseline,20260908,2,26097216.475257274,748.8
D1,pilot_baseline,20260909,1,25661945.179135054,748.8
D1,pilot_baseline,20260910,1,26339376.54188504,897.4
D1,pilot_baseline,20260910,2,26482458.935931716,748.8
D1,pilot_baseline,20260911,1,26141990.495750297,897.4
D1,pilot_baseline,20260911,2,26271489.349208802,748.8
D1,pilot_baseline,20260912,1,25869762.52007003,897.4
D1,pilot_baseline,20260913,1,26260974.998964455,897.4
D1,pilot_baseline,20260913,2,26294098.30079214,748.8
D1,pilot_baseline,20260914,1,26017216.66227785,748.8
D1,pilot_baseline,20260915,1,26599929.42585052,897.4
D1,pilot_baseline,20260916,1,27009569.10874912,897.4
D1,pilot_baseline,20260917,1,26115823.596577793,748.8
D1,pilot_baseline,20260918,1,26111716.125451684,748.8
D1,pilot_baseline,20260919,1,25852625.250530098,897.4
D1,pilot_baseline,20260919,2,26005627.17742131,748.8
D1,pilot_baseline,20260920,1,25473831.652404923,748.8
D1,pilot_baseline,20260921,1,26345215.549868867,748.8
D1,pilot_baseline,20260922,1,25942376.636105716,962.0
D1,pilot_baseline,20260922,2,26296015.881218903,897.4
D1,pilot_baseline,20260923,1,26246224.726578195,897.4
D1,pilot_baseline,20260924,1,26079312.440493666,748.8
D1,pilot_baseline,20260925,1,25666723.802549712,748.8
D1,pilot_baseline,20260926,1,25357332.714536536,962.0
D1,pilot_baseline,20260926,2,25407916.743508853,748.8
D1,pilot_baseline,20260927,1,25813465.447321616,897.4
D1,pilot_baseline,20260927,2,25821136.574211463,748.8
D1,pilot_baseline,20260928,1,25641619.723959178,897.4
D1,pilot_baseline,20260928,2,25803548.521831043,748.8
D1,pilot_baseline,20260929,1,25132356.198546004,897.4
D1,pilot_baseline,20260929,2,25186650.804267168,748.8
D1,pilot_baseline,20260930,1,26027670.897189807,962.0
D1,pilot_baseline,20260930,2,26079882.094212517,897.4
D1,pilot_baseline,20260931,1,26228088.95171465,897.4
D1,pilot_baseline,20260932,1,25910737.276631143,748.8
D1,pilot_baseline,20260933,1,26072580.387107454,962.0
D1,pilot_baseline,20260933,2,26124023.356741924,897.4
D1,pilot_baseline,20260934,1,25584366.629945662,748.8
D1,pilot_baseline,20260935,1,25600937.483511977,897.4
D1,pilot_baseline,20260935,2,25740132.092889365,748.8
D2,pilot_baseline,20260906,1,25903610.198285352,760.8
D2,pilot_baseline,20260907,1,26235970.0854789,760.8
D2,pilot_baseline,20260908,1,26219280.08066291,905.4
D2,pilot_baseline,20260908,2,26305509.578866243,760.8
D2,pilot_baseline,20260909,1,26035076.961541787,760.8
D2,pilot_baseline,20260910,1,25904387.88808043,760.8
D2,pilot_baseline,20260911,1,26786428.696244843,760.8
D2,pilot_baseline,20260912,1,25769201.446450118,760.8
D2,pilot_baseline,20260913,1,26103695.501031462,760.8
D2,pilot_baseline,20260914,1,26589875.44979113,905.4
D2,pilot_baseline,20260914,2,26838116.79507913,760.8
D2,pilot_baseline,20260915,1,26703108.45916728,760.8
D2,pilot_baseline,20260916,1,26424436.8128738,905.4
D2,pilot_baseline,20260916,2,26711005.686777856,760.8
D2,pilot_baseline,20260917,1,26191923.323239233,760.8
D2,pilot_baseline,20260918,1,26204121.79690282,760.8
D2,pilot_baseline,20260919,1,26051012.046590682,760.8
D2,pilot_baseline,20260920,1,26170036.04183119,905.4
D2,pilot_baseline,20260920,2,26178330.060248435,760.8
D2,pilot_baseline,20260921,1,27491716.559682198,905.4
D2,pilot_baseline,20260921,2,27628540.920926936,760.8
D2,pilot_baseline,20260922,1,26207324.269364133,760.8
D2,pilot_baseline,20260923,1,26220300.600465223,905.4
D2,pilot_baseline,20260924,1,26750233.916167878,905.4
D2,pilot_baseline,20260924,2,26768644.950780034,760.8
D2,pilot_baseline,20260925,1,26337887.33392471,905.4
D2,pilot_baseline,20260925,2,26614619.31583909,760.8
D2,pilot_baseline,20260926,1,26864324.095237494,760.8
D2,pilot_baseline,20260927,1,26319484.990056407,905.4
D2,pilot_baseline,20260927,2,26419359.333235666,760.8
D2,pilot_baseline,20260928,1,26504781.48364226,905.4
D2,pilot_baseline,20260928,2,26712684.14860697,760.8
D2,pilot_baseline,20260929,1,26640312.450394716,760.8
D2,pilot_baseline,20260930,1,25613762.222234376,760.8
D2,pilot_baseline,20260931,1,27265798.624651738,760.8
D2,pilot_baseline,20260932,1,26737943.194697294,760.8
D2,pilot_baseline,20260933,1,26164052.558643807,905.4
D2,pilot_baseline,20260933,2,26375998.60926297,760.8
D2,pilot_baseline,20260934,1,25687060.74177763,760.8
D2,pilot_baseline,20260935,1,25811892.663894765,760.8
D3,pilot_baseline,20260906,1,27851669.610531133,890.4
D3,pilot_baseline,20260906,2,28215151.688503355,772.8
D3,pilot_baseline,20260907,1,27883979.2432192,890.4
D3,pilot_baseline,20260907,2,28276438.124805566,772.8
D3,pilot_baseline,20260908,1,27347491.999116298,772.8
D3,pilot_baseline,20260909,1,28534143.74732684,950.0
D3,pilot_baseline,20260909,2,28596734.56301585,890.4
D3,pilot_baseline,20260909,3,28654507.93934133,772.8
D3,pilot_baseline,20260910,1,28455177.667588796,950.0
D3,pilot_baseline,20260910,2,28518929.819367085,890.4
D3,pilot_baseline,20260911,1,27743912.585257497,772.8
D3,pilot_baseline,20260912,1,27850488.93932133,890.4
D3,pilot_baseline,20260913,1,27622638.887599923,890.4
D3,pilot_baseline,20260913,2,28165445.19996045,772.8
D3,pilot_baseline,20260914,1,28298813.48624062,772.8
D3,pilot_baseline,20260915,1,27549885.744383957,772.8
D3,pilot_baseline,20260916,1,28250445.58414281,772.8
D3,pilot_baseline,20260917,1,28006758.254176416,890.4
D3,pilot_baseline,20260917,2,28201436.275369275,772.8
D3,pilot_baseline,20260918,1,27869766.550015748,890.4
D3,pilot_baseline,20260918,2,28053457.912923615,772.8
D3,pilot_baseline,20260919,1,27342361.043618813,890.4
D3,pilot_baseline,20260920,1,28342467.4525019,890.4
D3,pilot_baseline,20260921,1,28970802.26454519,950.0
D3,pilot_baseline,20260921,2,29168416.66063478,890.4
D3,pilot_baseline,20260922,1,28296684.148820356,950.0
D3,pilot_baseline,20260922,2,28325341.477130298,890.4
D3,pilot_baseline,20260923,1,27879877.01077634,890.4
D3,pilot_baseline,20260923,2,27968985.06413858,772.8
D3,pilot_baseline,20260924,1,27619282.316665504,890.4
D3,pilot_baseline,20260924,2,27922510.23741743,772.8
D3,pilot_baseline,20260925,1,27717911.76279712,950.0
D3,pilot_baseline,20260925,2,27766415.721118324,890.4
D3,pilot_baseline,20260926,1,27918017.360038284,772.8
D3,pilot_baseline,20260927,1,28026884.051937364,890.4
D3,pilot_baseline,20260928,1,27530701.278052546,772.8
D3,pilot_baseline,20260929,1,28433102.600824736,950.0
D3,pilot_baseline,20260929,2,28438912.881783545,890.4
D3,pilot_baseline,20260930,1,28301127.734164827,890.4
D3,pilot_baseline,20260930,2,28559647.156963687,772.8
D3,pilot_baseline,20260931,1,27614017.62617108,890.4
D3,pilot_baseline,20260932,1,27593727.227879766,890.4
D3,pilot_baseline,20260932,2,27622050.65948321,772.8
D3,pilot_baseline,20260933,1,27864992.89035763,772.8
D3,pilot_baseline,20260934,1,27657167.543679398,890.4
D3,pilot_baseline,20260935,1,28559979.39849037,950.0
D3,pilot_baseline,20260935,2,28719111.915190708,890.4
