case_id,scenario,seed,elapsed_seconds,population_size,generations,feasible_population,pareto_size,min_cost_usd,min_makespan_h,hypervolume_normalized,spacing_normalized
D1,pilot_baseline,20260906,17.377732800785452,48,99,48,1,24308107.12743428,748.8,0.4923422403798063,0.0
D1,pilot_baseline,20260907,17.48077994817868,48,99,48,1,24392500.123279635,748.8,0.11000000000000011,0.0
D1,pilot_baseline,20260908,17.616235402878374,48,99,48,1,24166162.932207126,748.8,1.1354200345548964,0.0
D1,pilot_baseline,20260909,17.249030880164355,48,99,48,1,24269551.27957706,748.8,0.6670194052535915,0.0
D1,pilot_baseline,20260910,17.031942498870194,48,99,48,1,24275250.690507688,748.8,0.6411982393827431,0.0
D1,pilot_baseline,20260911,17.27741741714999,48,99,48,1,24367492.607907806,748.8,0.22329648103876268,0.0
D1,pilot_baseline,20260912,17.472250576596707,48,99,48,1,24149701.17086027,748.8,1.2100000000000002,0.0
D1,pilot_baseline,20260913,17.33433225331828,48,99,48,1,24326219.834524017,748.8,0.41028266969311844,0.0
D1,pilot_baseline,20260914,17.108414278831333,48,99,48,1,24371471.82990948,748.8,0.20526862647750094,0.0
D1,pilot_baseline,20260915,17.18372934591025,48,99,48,1,24390876.014984757,748.8,0.11735801825569778,0.0
D2,pilot_baseline,20260906,17.074364663101733,48,99,48,1,24704218.420324273,760.8,0.8248989843432081,0.0
D2,pilot_baseline,20260907,17.309199795126915,48,99,48,1,24616032.761805885,760.8,1.0567204147659501,0.0
D2,pilot_baseline,20260908,17.275804596953094,48,99,48,1,24686864.45519301,760.8,0.8705188854453488,0.0
D2,pilot_baseline,20260909,16.92742217425257,48,99,48,1,24592793.056428097,760.8,1.117812681170678,0.0
D2,pilot_baseline,20260910,16.788751736283302,48,99,48,1,24557724.687627234,760.8,1.2100000000000002,0.0
D2,pilot_baseline,20260911,17.058342202100903,48,99,48,1,24764070.80830984,760.8,0.6675597249880457,0.0
D2,pilot_baseline,20260912,17.2157612638548,48,99,48,1,24604889.614250977,760.8,1.086013391072883,0.0
D2,pilot_baseline,20260913,16.854913033079356,48,99,48,1,24608140.38411262,760.8,1.0774678051810012,0.0
D2,pilot_baseline,20260914,16.90349595900625,48,99,48,1,24976168.419051606,760.8,0.11000000000000011,0.0
D2,pilot_baseline,20260915,17.151444698683918,48,99,48,1,24696756.627921883,760.8,0.8445144571684066,0.0
D3,pilot_baseline,20260906,17.13123366003856,48,99,48,1,26469059.44543016,772.8,0.3695072390346541,0.0
D3,pilot_baseline,20260907,17.482824095059186,48,99,48,1,26609174.919585202,772.8,0.11000000000000011,0.0
D3,pilot_baseline,20260908,17.093632637057453,48,99,48,1,26079297.006371193,772.8,1.09138449812799,0.0
D3,pilot_baseline,20260909,16.96100133890286,48,99,48,1,26320263.66742021,772.8,0.6450912297696711,0.0
D3,pilot_baseline,20260910,17.017549613956362,48,99,48,1,26307678.553385116,772.8,0.6684000628295316,0.0
D3,pilot_baseline,20260911,17.26085060928017,48,99,48,1,26176166.917602986,772.8,0.9119721715388638,0.0
D3,pilot_baseline,20260912,17.25737639516592,48,99,48,1,26122556.59789281,772.8,1.0112636033785662,0.0
D3,pilot_baseline,20260913,17.17220527306199,48,99,48,1,26015253.061590463,772.8,1.2100000000000002,0.0
D3,pilot_baseline,20260914,17.217929723206908,48,99,48,1,26598373.29253533,772.8,0.13000564484185595,0.0
D3,pilot_baseline,20260915,16.95518117491156,48,99,48,1,26076396.32178736,772.8,1.0967568429899686,0.0
