case_id,scenario,seed,point_id,total_cost_usd,makespan_h
D1,pilot_baseline,20260906,1,24756565.640742645,748.8
D1,pilot_baseline,20260907,1,24668733.153563347,748.8
D1,pilot_baseline,20260908,1,24976716.419641875,748.8
D1,pilot_baseline,20260909,1,24443171.22286667,748.8
D1,pilot_baseline,20260910,1,24792330.64158818,748.8
D1,pilot_baseline,20260911,1,24873627.130519934,748.8
D1,pilot_baseline,20260912,1,24887233.553264197,748.8
D1,pilot_baseline,20260913,1,24601710.706407376,748.8
D1,pilot_baseline,20260914,1,24537549.113259323,748.8
D1,pilot_baseline,20260915,1,25181649.292153087,748.8
D2,pilot_baseline,20260906,1,25028826.275587868,760.8
D2,pilot_baseline,20260907,1,25270359.764890216,905.4
D2,pilot_baseline,20260907,2,25312544.250704553,760.8
D2,pilot_baseline,20260908,1,25487561.331189547,905.4
D2,pilot_baseline,20260908,2,25636397.384960353,760.8
D2,pilot_baseline,20260909,1,25024909.529960677,760.8
D2,pilot_baseline,20260910,1,25371511.603669424,760.8
D2,pilot_baseline,20260911,1,24869759.40710607,760.8
D2,pilot_baseline,20260912,1,24898138.340596143,760.8
D2,pilot_baseline,20260913,1,24984123.9142376,760.8
D2,pilot_baseline,20260914,1,25218783.586900093,760.8
D2,pilot_baseline,20260915,1,25130758.098312084,760.8
D3,pilot_baseline,20260906,1,27234828.87304988,772.8
D3,pilot_baseline,20260907,1,26763955.354541738,772.8
D3,pilot_baseline,20260908,1,26932704.523588613,772.8
D3,pilot_baseline,20260909,1,26951766.431592714,772.8
D3,pilot_baseline,20260910,1,26941499.479616925,890.4
D3,pilot_baseline,20260910,2,26941650.72021252,772.8
D3,pilot_baseline,20260911,1,26668766.35641125,950.0
D3,pilot_baseline,20260911,2,26725742.125268634,890.4
D3,pilot_baseline,20260911,3,26742473.928402185,772.8
D3,pilot_baseline,20260912,1,26512708.539818376,772.8
D3,pilot_baseline,20260913,1,26481712.19154526,772.8
D3,pilot_baseline,20260914,1,26749806.376476157,772.8
D3,pilot_baseline,20260915,1,26758420.93224818,772.8
