case_id,scenario,seed,point_id,total_cost_usd,makespan_h
D1,pilot_baseline,20260906,1,24308107.12743428,748.8
D1,pilot_baseline,20260907,1,24392500.123279635,748.8
D1,pilot_baseline,20260908,1,24166162.932207126,748.8
D1,pilot_baseline,20260909,1,24269551.27957706,748.8
D1,pilot_baseline,20260910,1,24275250.690507688,748.8
D1,pilot_baseline,20260911,1,24367492.607907806,748.8
D1,pilot_baseline,20260912,1,24149701.17086027,748.8
D1,pilot_baseline,20260913,1,24326219.834524017,748.8
D1,pilot_baseline,20260914,1,24371471.82990948,748.8
D1,pilot_baseline,20260915,1,24390876.014984757,748.8
D1,pilot_baseline,20260916,1,24346263.357946824,748.8
D1,pilot_baseline,20260917,1,24363158.151867785,748.8
D1,pilot_baseline,20260918,1,24586536.372433677,748.8
D1,pilot_baseline,20260919,1,24098051.446604807,748.8
D1,pilot_baseline,20260920,1,24157257.244458932,748.8
D1,pilot_baseline,20260921,1,24326792.89763562,748.8
D1,pilot_baseline,20260922,1,24235177.01857393,748.8
D1,pilot_baseline,20260923,1,24203276.648805592,748.8
D1,pilot_baseline,20260924,1,24291232.044673268,748.8
D1,pilot_baseline,20260925,1,24062259.326086212,897.4
D1,pilot_baseline,20260925,2,24070560.342699923,748.8
D1,pilot_baseline,20260926,1,24113832.260143217,748.8
D1,pilot_baseline,20260927,1,24237152.329335272,748.8
D1,pilot_baseline,20260928,1,24442752.416898537,748.8
D1,pilot_baseline,20260929,1,23924241.401069194,897.4
D1,pilot_baseline,20260929,2,23925674.169656307,748.8
D1,pilot_baseline,20260930,1,24498185.54204992,748.8
D1,pilot_baseline,20260931,1,24564726.89679797,748.8
D1,pilot_baseline,20260932,1,24324937.74762527,748.8
D1,pilot_baseline,20260933,1,24059505.759533394,748.8
D1,pilot_baseline,20260934,1,24206717.863971893,748.8
D1,pilot_baseline,20260935,1,24195948.021985956,748.8
D2,pilot_baseline,20260906,1,24704218.420324273,760.8
D2,pilot_baseline,20260907,1,24616032.761805885,760.8
D2,pilot_baseline,20260908,1,24686864.45519301,760.8
D2,pilot_baseline,20260909,1,24592793.056428097,760.8
D2,pilot_baseline,20260910,1,24557724.687627234,760.8
