case_id,scenario,point_id,total_cost_usd,quantity_weighted_mean_delivery_time_h,source_seeds
D1,pilot_baseline,1,24842445.19812098,660.4667559181308,20260906
D1,pilot_baseline,2,24848650.87177561,660.0019607945736,20260906
D1,pilot_baseline,3,24883568.201326527,658.6343352527729,20260906
D1,pilot_baseline,4,24888497.304555107,653.2299622158317,20260906
D1,pilot_baseline,5,24952312.852573715,653.0169489543077,20260906
D1,pilot_baseline,6,24988661.712288722,651.8252915182069,20260906
D1,pilot_baseline,7,25015801.614312228,651.7410650440858,20260906
D1,pilot_baseline,8,25027305.75699999,648.6471827837831,20260906
D1,pilot_baseline,9,25048405.284625843,647.9674761935964,20260906
D1,pilot_baseline,10,25145924.420690563,647.4400488001354,20260906
D1,pilot_baseline,11,25150426.31195558,646.7272102563984,20260906
D1,pilot_baseline,12,25154848.34343224,646.6180078702163,20260906
D1,pilot_baseline,13,25177392.60003796,645.9118055369357,20260933
D1,pilot_baseline,14,25183901.81765151,644.1530559632971,20260923
D1,pilot_baseline,15,25195300.396754384,644.1155008779716,20260923
D1,pilot_baseline,16,25213844.15011067,643.8694508795252,20260933
D1,pilot_baseline,17,25221481.169953357,642.4337207184383,20260932
D1,pilot_baseline,18,25245563.86645435,640.9869864564172,20260912
D1,pilot_baseline,19,25296118.36958161,638.6596958843554,20260912
D1,pilot_baseline,20,25313310.103698507,638.1804410406907,20260932
D1,pilot_baseline,21,25373170.16865519,637.603351320569,20260912
D1,pilot_baseline,22,25381113.971172906,637.462174937037,20260932
D1,pilot_baseline,23,25412277.976145215,637.3194423787354,20260932
D1,pilot_baseline,24,25412396.694947865,637.3121527390931,20260912
D1,pilot_baseline,25,25412552.53586355,636.2742574455212,20260932
D1,pilot_baseline,26,25477489.42523127,636.0770864938119,20260912
D1,pilot_baseline,27,25487990.91266626,635.4987189178859,20260932
D1,pilot_baseline,28,25511794.069225244,635.385771678844,20260912
D1,pilot_baseline,29,25512405.61914239,635.1958254120451,20260912
D1,pilot_baseline,30,25520009.66088834,635.0912322279218,20260912
D1,pilot_baseline,31,25530175.039977346,634.3162187577074,20260912
D1,pilot_baseline,32,25534679.101430047,634.2467667372729,20260912
D1,pilot_baseline,33,25571105.24786311,634.0019876096361,20260932
D1,pilot_baseline,34,25588168.39353081,633.7394485510819,20260932
D1,pilot_baseline,35,25589599.156443063,633.6585786905,20260912
D1,pilot_baseline,36,25606115.69696911,633.477243524744,20260912
D1,pilot_baseline,37,25608682.029926307,633.3881903918789,20260912
D1,pilot_baseline,38,25619704.380212445,633.305472433005,20260927
D1,pilot_baseline,39,25630303.21725872,633.1538114376112,20260932
D1,pilot_baseline,40,25632437.050621632,633.1062400407546,20260912
D1,pilot_baseline,41,25637883.522405136,632.4363962140179,20260912
D1,pilot_baseline,42,25663193.9963302,632.3481515333553,20260932
D1,pilot_baseline,43,25689245.819080215,632.1039281575665,20260932
D1,pilot_baseline,44,25690957.30946771,631.1828970683052,20260912
D1,pilot_baseline,45,25702106.96553333,631.1226613497582,20260912
D1,pilot_baseline,46,25721284.12020118,630.8132637265082,20260932
D1,pilot_baseline,47,25742052.779472794,630.2527356495924,20260912
D1,pilot_baseline,48,25781620.233055748,630.1124616298766,20260912
D1,pilot_baseline,49,25782069.58653237,629.0165537528575,20260932
D1,pilot_baseline,50,25784411.552524347,628.929771282216,20260932
D1,pilot_baseline,51,25850159.04732197,628.6040771836915,20260932
D1,pilot_baseline,52,25874523.312749244,627.7748981606636,20260927
D1,pilot_baseline,53,25887881.881216742,627.5799754051783,20260912
D1,pilot_baseline,54,25947772.611799456,627.1956124114544,20260919
D1,pilot_baseline,55,25960495.03648061,627.1248792493246,20260919
D1,pilot_baseline,56,25960787.670548104,626.3455665972414,20260919
D1,pilot_baseline,57,25978071.889775064,626.0830615249329,20260932
D1,pilot_baseline,58,26012100.002830815,625.5983008306623,20260919
D1,pilot_baseline,59,26035957.91802891,625.3908509426325,20260919
D1,pilot_baseline,60,26041528.754809827,625.1327766265262,20260927
D1,pilot_baseline,61,26047000.380012766,624.6409284071755,20260919
D1,pilot_baseline,62,26078454.04174026,624.6269236616813,20260919
D1,pilot_baseline,63,26088108.51695721,624.3071479515643,20260919
D1,pilot_baseline,64,26106149.48305315,624.1270090013602,20260919
D1,pilot_baseline,65,26141080.43551318,623.4929835591001,20260919
D1,pilot_baseline,66,26166187.815320842,622.7309224621099,20260919
D1,pilot_baseline,67,26181550.811070465,622.6004955759352,20260919
D1,pilot_baseline,68,26207714.111823913,622.1477503571793,20260919
D1,pilot_baseline,69,26230472.702329084,622.1421780482056,20260919
D1,pilot_baseline,70,26233073.149938818,621.8821146802418,20260919
D1,pilot_baseline,71,26286310.200127587,620.976794992271,20260919
D1,pilot_baseline,72,26309731.3301426,620.748467188563,20260919
D1,pilot_baseline,73,26389990.185705308,620.6939774268258,20260925
D1,pilot_baseline,74,26398415.777893074,620.4481500402061,20260925
D1,pilot_baseline,75,26412051.673197955,619.9291129020464,20260925
D1,pilot_baseline,76,26469059.059917103,619.6854423631269,20260915
D1,pilot_baseline,77,26478502.06672025,619.3641697795872,20260915
D1,pilot_baseline,78,26530623.826993868,619.3612708983297,20260915
D1,pilot_baseline,79,26544322.097125288,618.1737686731917,20260915
D1,pilot_baseline,80,26571173.55595367,617.897496926095,20260915
D1,pilot_baseline,81,26591906.179263618,617.5779448683761,20260915
D1,pilot_baseline,82,26653399.489870492,617.1121999235975,20260915
D1,pilot_baseline,83,26720476.696201835,616.6216548441273,20260915
D1,pilot_baseline,84,26772109.384655178,615.6406286172274,20260915
D2,pilot_baseline,1,25042488.426821988,644.2228576954567,20260929
D2,pilot_baseline,2,25050600.72273132,642.432217909916,20260929
D2,pilot_baseline,3,25095579.711493533,642.2834995966234,20260929
D2,pilot_baseline,4,25123601.95313961,640.498511398455,20260907
D2,pilot_baseline,5,25147443.083006445,638.954472984277,20260935
D2,pilot_baseline,6,25162484.532220487,636.4340384670242,20260922
D2,pilot_baseline,7,25193293.341905214,635.6687707884093,20260919
D2,pilot_baseline,8,25204780.642482918,635.3951792811853,20260935
D2,pilot_baseline,9,25224910.491723917,635.123124280483,20260919
D2,pilot_baseline,10,25230698.312514964,634.7985186472152,20260919
D2,pilot_baseline,11,25232158.574837178,634.7481784650669,20260919
D2,pilot_baseline,12,25251506.218225747,634.5276644590829,20260922
D2,pilot_baseline,13,25254602.764740624,634.2012627418892,20260935
D2,pilot_baseline,14,25261721.687618826,634.0982443961713,20260919
D2,pilot_baseline,15,25262982.920210816,633.716195204016,20260922
D2,pilot_baseline,16,25268697.9829264,633.3063059927446,20260919
D2,pilot_baseline,17,25283623.192006044,632.7442916622921,20260919
D2,pilot_baseline,18,25289409.092763457,632.519496682952,20260919
D2,pilot_baseline,19,25297568.186163597,631.7038830328336,20260919
D2,pilot_baseline,20,25316536.68282912,630.691152359605,20260919
D2,pilot_baseline,21,25330079.32530109,630.115390172532,20260919
D2,pilot_baseline,22,25357894.65832598,629.9229508441925,20260919
D2,pilot_baseline,23,25370116.783563696,629.567854606044,20260919
D2,pilot_baseline,24,25387141.52726757,629.4409964318332,20260927
D2,pilot_baseline,25,25399034.53660163,628.8658989914115,20260919
D2,pilot_baseline,26,25400858.56461812,628.6564635442271,20260919
D2,pilot_baseline,27,25404369.409010656,628.5200177979875,20260919
D2,pilot_baseline,28,25409701.79123803,627.8954335352838,20260919
D2,pilot_baseline,29,25419043.96174824,627.7622494495813,20260919
D2,pilot_baseline,30,25434805.231274627,627.0167750220664,20260919
D2,pilot_baseline,31,25437868.3185677,626.8213563063872,20260919
D2,pilot_baseline,32,25453184.987443093,626.3297236359927,20260919
D2,pilot_baseline,33,25468696.754395302,625.9368705746316,20260919
D2,pilot_baseline,34,25474926.42379011,625.7334981971501,20260919
D2,pilot_baseline,35,25493201.721248914,625.5674859103249,20260919
D2,pilot_baseline,36,25523670.379105672,625.3561990894391,20260919
D2,pilot_baseline,37,25524432.172126237,625.1324965766598,20260919
D2,pilot_baseline,38,25533765.142147526,624.9665608329423,20260919
D2,pilot_baseline,39,25534534.047889274,624.2920912511187,20260930
D2,pilot_baseline,40,25538295.308761396,624.0365165422298,20260919
D2,pilot_baseline,41,25539601.414758723,623.5161400669996,20260930
D2,pilot_baseline,42,25590031.15209993,622.7237675288716,20260913
D2,pilot_baseline,43,25610610.00045649,622.699931607193,20260930
D2,pilot_baseline,44,25610640.09504055,621.4628333228625,20260913
D2,pilot_baseline,45,25633062.954829287,621.2534411204771,20260930
D2,pilot_baseline,46,25649841.023257207,621.2252471138917,20260930
D2,pilot_baseline,47,25652582.920221817,620.9692654128704,20260930
D2,pilot_baseline,48,25664685.103188723,620.7679210260043,20260930
D2,pilot_baseline,49,25667830.126707755,620.5290301756492,20260913
D2,pilot_baseline,50,25718729.189081665,619.9599279310055,20260930
D2,pilot_baseline,51,25730308.36739736,619.6616298891954,20260930
D2,pilot_baseline,52,25769537.01109524,619.617784981384,20260930
D2,pilot_baseline,53,25772606.979508296,619.4624657981099,20260930
D2,pilot_baseline,54,25784572.703557115,619.1012276710171,20260930
D2,pilot_baseline,55,25837663.6136833,618.6212504454,20260921
D2,pilot_baseline,56,25861913.547261577,618.1382253883559,20260930
D2,pilot_baseline,57,25912525.61815807,617.684449467495,20260921
D2,pilot_baseline,58,25917515.447880242,617.5255191446895,20260921
D2,pilot_baseline,59,25958929.87185965,617.4288030702173,20260921
D2,pilot_baseline,60,25966714.742599607,616.3705803792104,20260921
D2,pilot_baseline,61,25982644.84135444,616.2275563064204,20260921
D2,pilot_baseline,62,26003590.617530074,615.8760464803038,20260921
D2,pilot_baseline,63,26062362.90782564,615.7764684074817,20260921
D2,pilot_baseline,64,26098224.682954,615.6651105294036,20260921
D2,pilot_baseline,65,26158103.74627222,615.5094569568153,20260921
D2,pilot_baseline,66,26307330.49490541,615.1108416850437,20260931
D2,pilot_baseline,67,26437962.158408742,614.5667546170718,20260931
D2,pilot_baseline,68,26640245.027966164,614.2157580011346,20260931
D3,pilot_baseline,1,26576332.611434035,661.8213301229198,20260932
D3,pilot_baseline,2,26640396.08262353,661.4234514165981,20260923
D3,pilot_baseline,3,26673754.848109253,659.809121166826,20260923
D3,pilot_baseline,4,26681325.060295373,659.2333516476509,20260923
D3,pilot_baseline,5,26693610.801710643,656.9249325591071,20260932
D3,pilot_baseline,6,26771840.701283965,656.8919301690811,20260923
D3,pilot_baseline,7,26787297.037885573,656.8780857790117,20260932
D3,pilot_baseline,8,26789000.274041586,656.5842034409304,20260923
D3,pilot_baseline,9,26806069.912465908,655.5060907891888,20260923
D3,pilot_baseline,10,26830903.653138798,653.9487132672075,20260932
D3,pilot_baseline,11,26869519.42661224,652.9531734660951,20260932
D3,pilot_baseline,12,26962419.841347888,651.7245950647814,20260932
D3,pilot_baseline,13,27019365.748485465,651.3503080552316,20260932
D3,pilot_baseline,14,27023803.91132418,651.3127880278809,20260932
D3,pilot_baseline,15,27026442.127510384,651.310931600027,20260932
D3,pilot_baseline,16,27046774.51493893,649.8382638270546,20260932
D3,pilot_baseline,17,27062583.44661119,649.6419505408586,20260932
D3,pilot_baseline,18,27073163.297885943,649.0292266926881,20260932
D3,pilot_baseline,19,27111657.972461287,648.8876580144467,20260926
D3,pilot_baseline,20,27126723.5914174,648.8354471800443,20260932
D3,pilot_baseline,21,27131884.70842643,647.5811273096549,20260932
D3,pilot_baseline,22,27192485.065201007,647.0886954962908,20260932
D3,pilot_baseline,23,27210772.689231902,646.7047394398136,20260932
D3,pilot_baseline,24,27236888.85099846,646.6779812095456,20260932
D3,pilot_baseline,25,27243489.943835612,645.5897368301233,20260932
D3,pilot_baseline,26,27297061.576034006,645.0514403672748,20260932
D3,pilot_baseline,27,27323440.728353232,644.9035468932489,20260913
D3,pilot_baseline,28,27324230.645164542,644.7500067169206,20260932
D3,pilot_baseline,29,27344667.025819764,644.4183097202846,20260932
D3,pilot_baseline,30,27345367.240201388,644.0941339029658,20260926
D3,pilot_baseline,31,27347951.38283946,644.0686111199308,20260926
D3,pilot_baseline,32,27371387.73085083,643.7984353871527,20260907
D3,pilot_baseline,33,27382356.025026947,643.2640466335648,20260926
D3,pilot_baseline,34,27403189.1888302,642.8582171455923,20260913
D3,pilot_baseline,35,27412462.477229394,642.5973724235597,20260913
D3,pilot_baseline,36,27417192.263126392,642.3718076211804,20260932
D3,pilot_baseline,37,27429169.62883351,642.2868151613222,20260926
D3,pilot_baseline,38,27442114.455498327,642.002584175591,20260932
D3,pilot_baseline,39,27465805.86823922,641.9111333988986,20260911
D3,pilot_baseline,40,27496827.886138298,641.4801278350506,20260932
D3,pilot_baseline,41,27522060.474037446,641.4526292778002,20260929
D3,pilot_baseline,42,27529732.67960582,641.0166893924949,20260930
D3,pilot_baseline,43,27547911.847124938,640.9260695150616,20260911
D3,pilot_baseline,44,27550121.0572488,640.2505485068748,20260929
D3,pilot_baseline,45,27580334.82143745,640.0393820199846,20260907
D3,pilot_baseline,46,27593387.064369347,639.7576673216292,20260906
