case_id,scenario,runs,successful_runs,success_rate,total_front_points,union_front_size,best_cost_usd,cost_median_usd,cost_q1_usd,cost_q3_usd,best_weighted_mean_delivery_time_h,weighted_mean_delivery_time_median_h,weighted_mean_delivery_time_q1_h,weighted_mean_delivery_time_q3_h,hypervolume_median,hypervolume_q1,hypervolume_q3,spacing_median,elapsed_median_seconds,elapsed_total_seconds,ideal_cost_usd,ideal_weighted_mean_delivery_time_h,nadir_cost_usd,nadir_weighted_mean_delivery_time_h,hypervolume_reference_normalized
D1,all_departure_delay_48h,30,30,1.0,489,32,26545415.13795978,27071712.72617104,26944427.258156456,27321749.41874212,662.0463586340014,668.385798654595,666.5081978199539,670.7498662931778,0.6732286083725749,0.5619650027778426,0.7438827475324712,0.03171719330221767,14.025149804539979,421.2340039592236,26545415.13795978,662.0463586340014,28595199.447888467,690.550472205264,1.1|1.1
D1,pilot_baseline,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,14.581142464419827,435.06290922360495,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D1,uswc_compound_moderate,30,30,1.0,594,71,25794035.95289595,26390261.201751694,26237807.02242776,26577529.568481322,636.8771283939482,645.5282673031286,643.2485250504129,647.888206378051,0.5451761060293817,0.4762967480576946,0.5847923230517327,0.02550963023645079,13.971328411251307,419.96564101660624,25794035.95289595,636.8771283939482,27534091.007358022,664.5142002536123,1.1|1.1
D1,uswc_compound_severe,30,30,1.0,253,10,29108946.365267005,30214248.207333446,29678836.817930657,30626685.636575356,711.1799062357899,713.0704087953704,712.3390821045386,714.2567851475048,0.7558826272890165,0.5962158818545611,0.8754819395183217,0.03183497007014113,14.32868350413628,428.7940964703448,29108946.365267005,711.1799062357899,33742289.36632131,720.851287659084,1.1|1.1
D1,uswc_departure_delay_24h,30,30,1.0,594,71,25794035.95289595,26390261.201751694,26237807.02242776,26577529.568481322,636.8771283939482,645.5282673031286,643.2485250504129,647.888206378051,0.5451761060293817,0.4762967480576946,0.5847923230517327,0.02550963023645079,14.15911526675336,421.7882693493739,25794035.95289595,636.8771283939482,27534091.007358022,664.5142002536123,1.1|1.1
D1,uswc_departure_delay_72h,30,30,1.0,378,36,27362848.23379976,27898896.94446315,27757104.2108293,28007522.25203336,675.8520129786247,679.6519265219363,678.8219521619992,681.4229327967884,0.5759645445513746,0.5249181865687594,0.7209926383146008,0.028853788920467895,13.556089268065989,406.109361034818,27362848.23379976,675.8520129786247,28793477.981217504,694.7786044229479,1.1|1.1
D1,uswc_port_capacity_125pct,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,14.634454371640459,435.9750171699561,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D1,uswc_port_capacity_50pct,30,30,1.0,616,44,24930893.608474642,25360202.01474618,25111389.34290024,25546158.670299873,642.2013784179537,645.100446816447,644.1473283261626,645.867311826174,0.8017936112991133,0.675249215183374,0.8646931367300372,0.02987517135742035,14.827880511758849,444.91607163241133,24930893.608474642,642.2013784179537,28022464.066027135,655.7776813037453,1.1|1.1
D1,uswc_port_capacity_75pct,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,14.607167723122984,435.9337226632051,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D2,all_departure_delay_48h,30,30,1.0,379,29,26332849.07385339,26889320.19376558,26666275.743744925,27102037.70571991,662.8860775866294,664.9611327276226,664.3408392205807,667.567575295352,0.6843919268656782,0.6322173624973595,0.7539397561885957,0.03955792114502177,13.645824666135013,406.1233995896764,26332849.07385339,662.8860775866294,28311420.369213313,681.1989225858949,1.1|1.1
D2,pilot_baseline,30,30,1.0,747,68,25042488.426821988,25277711.995491184,25162655.08831432,25387293.896634724,614.2157580011346,622.7134638938032,620.0441222027036,623.8528136555974,0.7428470213817568,0.6924363499869198,0.7762983850559437,0.021497814070183138,14.070694831665605,421.5089845843613,25042488.426821988,614.2157580011346,26640245.027966164,648.8895653143628,1.1|1.1
D2,uswc_compound_moderate,30,30,1.0,596,50,25656685.608865466,26001295.888672274,25881042.572348278,26134456.52253458,636.1042775486255,641.5691493002962,639.1098540225069,644.1265480858304,0.7410185754209588,0.6691906152963928,0.7969181294208776,0.022852031756809915,13.688000469934195,407.99287103582174,25656685.608865466,636.1042775486255,27149074.647341847,664.1428265875212,1.1|1.1
D2,uswc_compound_severe,30,30,1.0,234,21,30206455.873118315,31200388.18034966,30763255.627451807,31527880.20368558,711.2054657315139,715.2433129622636,714.2534657962124,716.4168364389249,0.5842682106045646,0.4854506607700811,0.7210700258637616,0.047201028748559526,14.019501967355609,419.374719355721,30206455.873118315,711.2054657315139,33835042.366299756,723.3480279133598,1.1|1.1
D2,uswc_departure_delay_24h,30,30,1.0,596,50,25656685.608865466,26001295.888672274,25881042.572348278,26134456.52253458,636.1042775486255,641.5691493002962,639.1098540225069,644.1265480858304,0.7410185754209588,0.6691906152963928,0.7969181294208776,0.022852031756809915,13.638931287452579,407.74453646549955,25656685.608865466,636.1042775486255,27149074.647341847,664.1428265875212,1.1|1.1
D2,uswc_departure_delay_72h,30,30,1.0,280,23,27141414.59837902,27511410.89778153,27298154.330933534,27625842.365727883,677.4623270226496,679.7301666664614,678.631160009113,680.4286823906804,0.7641881987188661,0.6538372623421428,0.9104981243330694,0.04168945593880245,13.213594620116055,396.04780264245346,27141414.59837902,677.4623270226496,28511066.97282389,694.0925555276501,1.1|1.1
D2,uswc_port_capacity_125pct,30,30,1.0,747,68,25042488.426821988,25277711.995491184,25162655.08831432,25387293.896634724,614.2157580011346,622.7134638938032,620.0441222027036,623.8528136555974,0.7428470213817568,0.6924363499869198,0.7762983850559437,0.021497814070183138,14.0771937482059,421.32664674706757,25042488.426821988,614.2157580011346,26640245.027966164,648.8895653143628,1.1|1.1
D2,uswc_port_capacity_50pct,30,30,1.0,561,50,25083981.66200837,25706996.53085373,25416024.12726312,25951855.350952037,645.3196272149385,649.211373934162,647.2594381748413,651.9733722727428,0.6724999671359078,0.5771971265712812,0.7604537081488361,0.029056943196336737,14.546804067445919,434.1082602646202,25083981.66200837,645.3196272149385,27732949.93310342,663.7717614828964,1.1|1.1
D2,uswc_port_capacity_75pct,30,30,1.0,747,68,25042488.426821988,25277711.995491184,25162655.08831432,25387293.896634724,614.2157580011346,622.7134638938032,620.0441222027036,623.8528136555974,0.7428470213817568,0.6924363499869198,0.7762983850559437,0.021497814070183138,14.065810218686238,421.5969536220655,25042488.426821988,614.2157580011346,26640245.027966164,648.8895653143628,1.1|1.1
D3,all_departure_delay_48h,30,30,1.0,344,26,29428500.401846502,30001390.02557595,29821018.665119663,30234670.988269433,676.1644467516624,679.6241744083052,678.2176950933233,680.6281425343527,0.673584213989149,0.5238376605177757,0.8265553139744923,0.03231222171194291,13.544293878832832,404.96309131616727,29428500.401846502,676.1644467516624,31348859.311478928,696.8912253155848,1.1|1.1
D3,pilot_baseline,30,30,1.0,826,71,26576332.611434035,27130204.126386963,27027917.901911195,27207432.99619214,628.0642444823245,635.1141538966688,633.4351147736375,638.4380515381438,0.6525251162925374,0.6252591632665971,0.690155829714644,0.02334491781879139,14.112035633996129,423.92318512126803,26576332.611434035,628.0642444823245,28699212.459725145,666.2327002301871,1.1|1.1
D3,uswc_compound_moderate,30,30,1.0,537,54,27858972.814188782,28397087.73882641,28136281.122572266,28472559.376485012,651.0385304984703,655.8839772581142,654.0101456858938,658.3370978934514,0.7377914784541152,0.6713495996755634,0.7777977942193988,0.026741154710155618,13.666947731282562,408.1648625624366,27858972.814188782,651.0385304984703,29892971.25641961,680.2933784380086,1.1|1.1
D3,uswc_compound_severe,30,30,1.0,227,11,33447783.55624609,34286142.15907439,34066857.97737289,34645403.330525585,724.0017371830488,726.612871330243,725.3324587735085,728.2024798504242,0.6313983117209947,0.42355684648699854,0.7218572901043092,0.0430286027166053,13.900538786547258,416.3980521946214,33447783.55624609,724.0017371830488,36145507.6163796,734.4941654110763,1.1|1.1
D3,uswc_departure_delay_24h,30,30,1.0,537,54,27858972.814188782,28397087.73882641,28136281.122572266,28472559.376485012,651.0385304984703,655.8839772581142,654.0101456858938,658.3370978934514,0.7377914784541152,0.6713495996755634,0.7777977942193988,0.026741154710155618,13.645691439509392,408.2981070075184,27858972.814188782,651.0385304984703,29892971.25641961,680.2933784380086,1.1|1.1
D3,uswc_departure_delay_72h,30,30,1.0,310,15,30161790.235698875,30689379.10720942,30482199.361514978,30850827.238177955,691.9945347653137,693.716575503169,692.764252186092,695.1461722161093,0.794160425884705,0.7157797549858312,0.8601992829294992,0.03231456943481648,13.1690236418508,395.9683992904611,30161790.235698875,691.9945347653137,32223015.63176345,707.2681828452581,1.1|1.1
D3,uswc_port_capacity_125pct,30,30,1.0,826,71,26576332.611434035,27130204.126386963,27027917.901911195,27207432.99619214,628.0642444823245,635.1141538966688,633.4351147736375,638.4380515381438,0.6525251162925374,0.6252591632665971,0.690155829714644,0.02334491781879139,14.082993465475738,423.4270232785493,26576332.611434035,628.0642444823245,28699212.459725145,666.2327002301871,1.1|1.1
D3,uswc_port_capacity_50pct,30,30,1.0,655,38,26674109.5122458,27439622.894004077,27173513.191231016,27716567.051883645,657.9484447214204,661.9215932413517,660.7410670999226,663.4047893398043,0.6992741344498863,0.6275123812874857,0.8036136400791783,0.02637443645536001,14.360672329785302,432.2072800328024,26674109.5122458,657.9484447214204,30169692.678471133,678.3233469962859,1.1|1.1
D3,uswc_port_capacity_75pct,30,30,1.0,826,71,26576332.611434035,27130204.126386963,27027917.901911195,27207432.99619214,628.0642444823245,635.1141538966688,633.4351147736375,638.4380515381438,0.6525251162925374,0.6252591632665971,0.690155829714644,0.02334491781879139,14.092099762754515,423.6258209142834,26576332.611434035,628.0642444823245,28699212.459725145,666.2327002301871,1.1|1.1
