case_id,scenario,point_id,total_cost_usd,quantity_weighted_mean_delivery_time_h,source_seeds
D1,all_departure_delay_48h,1,26545415.13795978,679.2001434531506,20260907
D1,all_departure_delay_48h,2,26629124.4166062,677.4188099025047,20260907
D1,all_departure_delay_48h,3,26644847.755823225,677.2175106398182,20260907
D1,all_departure_delay_48h,4,26682294.311577965,676.0342173162688,20260907
D1,all_departure_delay_48h,5,26695833.659024045,675.9074058266331,20260907
D1,all_departure_delay_48h,6,26727239.591519024,675.8855651335441,20260907
D1,all_departure_delay_48h,7,26734097.192157898,675.6760665685111,20260907
D1,all_departure_delay_48h,8,26739526.520057518,675.5225046285631,20260907
D1,all_departure_delay_48h,9,26742232.55002315,673.6265555178561,20260907
D1,all_departure_delay_48h,10,26909589.496668454,672.6916834510065,20260907
D1,all_departure_delay_48h,11,26958172.816632956,672.1690506395598,20260907
D1,all_departure_delay_48h,12,26994155.99224189,671.8973342869092,20260907
D1,all_departure_delay_48h,13,27131358.739755273,670.7061056915734,20260907
D1,all_departure_delay_48h,14,27181960.806487605,670.0789257312164,20260912
D1,all_departure_delay_48h,15,27202556.83011441,670.0573073069239,20260907
D1,all_departure_delay_48h,16,27280773.502441652,669.9211144360296,20260912
D1,all_departure_delay_48h,17,27281761.68405177,669.7502769402682,20260912
D1,all_departure_delay_48h,18,27289741.69288748,669.3648993283188,20260912
D1,all_departure_delay_48h,19,27340749.078682736,669.2976289445028,20260912
D1,all_departure_delay_48h,20,27366693.24268456,669.0960700156044,20260912
D1,all_departure_delay_48h,21,27391880.70198726,668.369821405848,20260912
D1,all_departure_delay_48h,22,27423501.57737876,668.3641355535107,20260912
D1,all_departure_delay_48h,23,27444437.08130869,667.6047210468553,20260912
D1,all_departure_delay_48h,24,27499104.226805355,667.1048621605415,20260915
D1,all_departure_delay_48h,25,27599119.17888284,665.4706385711042,20260915
D1,all_departure_delay_48h,26,27776663.113222823,664.7504311873452,20260915
D1,all_departure_delay_48h,27,27784900.910622723,664.2103187298559,20260915
D1,all_departure_delay_48h,28,27840733.01951163,664.1026328705514,20260912
D1,all_departure_delay_48h,29,27950828.954091832,663.9570374294452,20260915
D1,all_departure_delay_48h,30,27953624.616790347,663.4024113798239,20260915
D1,all_departure_delay_48h,31,27993757.172013447,662.4778258863215,20260915
D1,all_departure_delay_48h,32,28068711.250447817,662.0463586340014,20260915
D1,pilot_baseline,1,24842445.19812098,660.4667559181308,20260906
D1,pilot_baseline,2,24848650.87177561,660.0019607945736,20260906
D1,pilot_baseline,3,24883568.201326527,658.6343352527729,20260906
D1,pilot_baseline,4,24888497.304555107,653.2299622158317,20260906
D1,pilot_baseline,5,24952312.852573715,653.0169489543077,20260906
