solution_id,case_id,scenario,roles,source_seed,total_cost_usd,quantity_weighted_mean_delivery_time_h,makespan_h,max_lead_time_h,total_tardiness_feu_h,route_allocations
D1_all_departure_delay_48h_001,D1,all_departure_delay_48h,min_cost,20260907,26545415.13795978,679.2001434531506,782.4,782.4,2189.0464793433175,76
D1_all_departure_delay_48h_002,D1,all_departure_delay_48h,,20260907,26629124.4166062,677.4188099025047,782.4,782.4,1674.5166429500018,74
D1_all_departure_delay_48h_003,D1,all_departure_delay_48h,,20260907,26644847.755823225,677.2175106398182,782.4,782.4,1989.0031481803821,79
D1_all_departure_delay_48h_004,D1,all_departure_delay_48h,,20260907,26682294.311577965,676.0342173162688,782.4,782.4,1674.5166429500018,75
D1_all_departure_delay_48h_005,D1,all_departure_delay_48h,,20260907,26695833.659024045,675.9074058266331,782.4,782.4,1424.2030428808378,78
D1_all_departure_delay_48h_006,D1,all_departure_delay_48h,,20260907,26727239.591519024,675.8855651335441,782.4,782.4,1791.671280665093,75
D1_all_departure_delay_48h_007,D1,all_departure_delay_48h,,20260907,26734097.192157898,675.6760665685111,782.4,782.4,1854.1404855579276,77
D1_all_departure_delay_48h_008,D1,all_departure_delay_48h,,20260907,26739526.520057518,675.5225046285631,782.4,782.4,1746.237905390106,79
D1_all_departure_delay_48h_009,D1,all_departure_delay_48h,,20260907,26742232.55002315,673.6265555178561,782.4,782.4,1169.5990913470644,74
D1_all_departure_delay_48h_010,D1,all_departure_delay_48h,,20260907,26909589.496668454,672.6916834510065,782.4,782.4,1797.9746152457428,76
D1_all_departure_delay_48h_011,D1,all_departure_delay_48h,,20260907,26958172.816632956,672.1690506395598,782.4,782.4,1613.6891462294286,73
D1_all_departure_delay_48h_012,D1,all_departure_delay_48h,,20260907,26994155.99224189,671.8973342869092,782.4,782.4,1759.3562462975706,74
D1_all_departure_delay_48h_013,D1,all_departure_delay_48h,,20260907,27131358.739755273,670.7061056915734,782.4,782.4,1821.4305602028735,75
D1_all_departure_delay_48h_014,D1,all_departure_delay_48h,balanced,20260912,27181960.806487605,670.0789257312164,782.4,782.4,2488.1890995603,81
D1_all_departure_delay_48h_015,D1,all_departure_delay_48h,,20260907,27202556.83011441,670.0573073069239,782.4,782.4,1825.9936707600602,76
D1_all_departure_delay_48h_016,D1,all_departure_delay_48h,,20260912,27280773.502441652,669.9211144360296,782.4,782.4,2248.9351134311414,82
D1_all_departure_delay_48h_017,D1,all_departure_delay_48h,,20260912,27281761.68405177,669.7502769402682,782.4,782.4,2301.9856688361733,82
D1_all_departure_delay_48h_018,D1,all_departure_delay_48h,,20260912,27289741.69288748,669.3648993283188,782.4,782.4,1691.5497747158151,76
D1_all_departure_delay_48h_019,D1,all_departure_delay_48h,,20260912,27340749.078682736,669.2976289445028,782.4,782.4,2125.9384888726368,75
D1_all_departure_delay_48h_020,D1,all_departure_delay_48h,,20260912,27366693.24268456,669.0960700156044,782.4,782.4,2163.8020128768458,79
D1_all_departure_delay_48h_021,D1,all_departure_delay_48h,,20260912,27391880.70198726,668.369821405848,782.4,782.4,1960.6408349773155,77
D1_all_departure_delay_48h_022,D1,all_departure_delay_48h,,20260912,27423501.57737876,668.3641355535107,782.4,782.4,1940.9339146809543,76
D1_all_departure_delay_48h_023,D1,all_departure_delay_48h,,20260912,27444437.08130869,667.6047210468553,782.4,782.4,1518.9710540712315,75
D1_all_departure_delay_48h_024,D1,all_departure_delay_48h,,20260915,27499104.226805355,667.1048621605415,782.4,782.4,1245.401095551659,79
D1_all_departure_delay_48h_025,D1,all_departure_delay_48h,,20260915,27599119.17888284,665.4706385711042,782.4,782.4,1068.7974231647001,79
D1_all_departure_delay_48h_026,D1,all_departure_delay_48h,,20260915,27776663.113222823,664.7504311873452,782.4,782.4,1190.5167649603784,75
D1_all_departure_delay_48h_027,D1,all_departure_delay_48h,,20260915,27784900.910622723,664.2103187298559,782.4,782.4,1187.5852846797675,78
D1_all_departure_delay_48h_028,D1,all_departure_delay_48h,,20260912,27840733.01951163,664.1026328705514,782.4,782.4,2023.6428159742086,79
D1_all_departure_delay_48h_029,D1,all_departure_delay_48h,,20260915,27950828.954091832,663.9570374294452,782.4,782.4,1783.8135888632,74
D1_all_departure_delay_48h_030,D1,all_departure_delay_48h,,20260915,27953624.616790347,663.4024113798239,782.4,782.4,1558.7617934232276,72
D1_all_departure_delay_48h_031,D1,all_departure_delay_48h,,20260915,27993757.172013447,662.4778258863215,782.4,782.4,1297.6539470075113,70
D1_all_departure_delay_48h_032,D1,all_departure_delay_48h,min_delivery_time,20260915,28068711.250447817,662.0463586340014,782.4,782.4,1311.1367371227127,69
D1_pilot_baseline_001,D1,pilot_baseline,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,748.8,3447.639452293473,84
D1_pilot_baseline_002,D1,pilot_baseline,,20260906,24848650.87177561,660.0019607945736,748.8,748.8,3195.984157543646,80
D1_pilot_baseline_003,D1,pilot_baseline,,20260906,24883568.201326527,658.6343352527729,748.8,748.8,3031.3392750231387,81
D1_pilot_baseline_004,D1,pilot_baseline,,20260906,24888497.304555107,653.2299622158317,748.8,748.8,2410.918651253123,81
D1_pilot_baseline_005,D1,pilot_baseline,,20260906,24952312.852573715,653.0169489543077,748.8,748.8,2522.1870245361483,82
D1_pilot_baseline_006,D1,pilot_baseline,,20260906,24988661.712288722,651.8252915182069,748.8,748.8,2571.3402814603764,82
D1_pilot_baseline_007,D1,pilot_baseline,,20260906,25015801.614312228,651.7410650440858,748.8,748.8,2314.6899427662643,83
D1_pilot_baseline_008,D1,pilot_baseline,,20260906,25027305.75699999,648.6471827837831,748.8,748.8,1885.1303826520066,82
D1_pilot_baseline_009,D1,pilot_baseline,,20260906,25048405.284625843,647.9674761935964,748.8,748.8,1621.2231466896915,81
D1_pilot_baseline_010,D1,pilot_baseline,,20260906,25145924.420690563,647.4400488001354,748.8,748.8,2250.5025338607297,83
D1_pilot_baseline_011,D1,pilot_baseline,,20260906,25150426.31195558,646.7272102563984,748.8,748.8,2056.380881729024,84
D1_pilot_baseline_012,D1,pilot_baseline,,20260906,25154848.34343224,646.6180078702163,748.8,748.8,2109.5809464164067,82
D1_pilot_baseline_013,D1,pilot_baseline,,20260933,25177392.60003796,645.9118055369357,748.8,748.8,1050.554768631837,86
D1_pilot_baseline_014,D1,pilot_baseline,,20260923,25183901.81765151,644.1530559632971,748.8,748.8,1092.2041794689367,90
D1_pilot_baseline_015,D1,pilot_baseline,,20260923,25195300.396754384,644.1155008779716,748.8,748.8,1149.4124496892587,90
D1_pilot_baseline_016,D1,pilot_baseline,,20260933,25213844.15011067,643.8694508795252,748.8,748.8,1002.5291500635353,85
D1_pilot_baseline_017,D1,pilot_baseline,,20260932,25221481.169953357,642.4337207184383,748.8,748.8,1145.6364887855073,85
D1_pilot_baseline_018,D1,pilot_baseline,,20260912,25245563.86645435,640.9869864564172,748.8,748.8,647.5621327081191,79
D1_pilot_baseline_019,D1,pilot_baseline,,20260912,25296118.36958161,638.6596958843554,748.8,748.8,629.0955467881668,79
D1_pilot_baseline_020,D1,pilot_baseline,,20260932,25313310.103698507,638.1804410406907,748.8,748.8,117.88093471774873,77
D1_pilot_baseline_021,D1,pilot_baseline,,20260912,25373170.16865519,637.603351320569,748.8,748.8,643.3779074498354,84
D1_pilot_baseline_022,D1,pilot_baseline,,20260932,25381113.971172906,637.462174937037,748.8,748.8,141.54361200839463,83
D1_pilot_baseline_023,D1,pilot_baseline,,20260932,25412277.976145215,637.3194423787354,748.8,748.8,394.5674052745754,84
D1_pilot_baseline_024,D1,pilot_baseline,,20260912,25412396.694947865,637.3121527390931,748.8,748.8,641.9819066165198,78
D1_pilot_baseline_025,D1,pilot_baseline,balanced,20260932,25412552.53586355,636.2742574455212,748.8,748.8,176.23451303031462,82
D1_pilot_baseline_026,D1,pilot_baseline,,20260912,25477489.42523127,636.0770864938119,748.8,748.8,640.9985114193873,81
D1_pilot_baseline_027,D1,pilot_baseline,,20260932,25487990.91266626,635.4987189178859,748.8,748.8,197.91791208106352,83
D1_pilot_baseline_028,D1,pilot_baseline,,20260912,25511794.069225244,635.385771678844,748.8,748.8,634.4775226621615,81
D1_pilot_baseline_029,D1,pilot_baseline,,20260912,25512405.61914239,635.1958254120451,748.8,748.8,623.9400340790708,80
D1_pilot_baseline_030,D1,pilot_baseline,,20260912,25520009.66088834,635.0912322279218,748.8,748.8,632.9386519997652,79
D1_pilot_baseline_031,D1,pilot_baseline,,20260912,25530175.039977346,634.3162187577074,748.8,748.8,628.861852165968,76
D1_pilot_baseline_032,D1,pilot_baseline,,20260912,25534679.101430047,634.2467667372729,748.8,748.8,626.8700707862739,80
