case_id,scenario,point_id,total_cost_usd,quantity_weighted_mean_delivery_time_h,source_seeds
D1,la_lb_departure_delay_72h,1,26016061.05393632,692.3458457792964,20260934
D1,la_lb_departure_delay_72h,2,26029200.1697573,692.0435201155509,20260934
D1,la_lb_departure_delay_72h,3,26078723.192549054,691.7978094502496,20260934
D1,la_lb_departure_delay_72h,4,26134719.47948193,691.44947810229,20260934
D1,la_lb_departure_delay_72h,5,26139593.99387966,691.0625403463445,20260934
D1,la_lb_departure_delay_72h,6,26168417.72670333,690.9970563184091,20260934
D1,la_lb_departure_delay_72h,7,26177238.121685084,690.8454962484287,20260934
D1,la_lb_departure_delay_72h,8,26200303.912962556,690.8065232083154,20260934
D1,la_lb_departure_delay_72h,9,26231639.343988366,690.484535019354,20260934
D1,la_lb_departure_delay_72h,10,26240687.51975969,689.8581582104244,20260934
D1,la_lb_departure_delay_72h,11,26268968.929012734,689.6169040882354,20260934
D1,la_lb_departure_delay_72h,12,26273314.94510871,689.3728371180489,20260934
D1,la_lb_departure_delay_72h,13,26342330.498310756,689.2703736526673,20260934
D1,la_lb_departure_delay_72h,14,26361989.747323584,688.9773981795885,20260934
D1,la_lb_departure_delay_72h,15,26377534.519217987,688.9334421591581,20260934
D1,la_lb_departure_delay_72h,16,26383580.343363542,688.785380170094,20260934
D1,la_lb_departure_delay_72h,17,26392824.713867553,688.7362507233314,20260934
D1,la_lb_departure_delay_72h,18,26419640.317505762,688.6507250594411,20260934
D1,la_lb_departure_delay_72h,19,26428038.60177476,688.6338354965936,20260934
D1,la_lb_departure_delay_72h,20,26443093.822888754,688.4355315845111,20260934
D1,la_lb_departure_delay_72h,21,26445995.71522261,688.2692560891155,20260934
D1,la_lb_departure_delay_72h,22,26446171.43677125,688.1766499186436,20260934
D1,la_lb_departure_delay_72h,23,26453464.617970962,688.1459956223389,20260934
D1,la_lb_departure_delay_72h,24,26481827.688342787,688.0524769237961,20260934
D1,la_lb_departure_delay_72h,25,26488675.10493607,688.0010660030343,20260934
D1,la_lb_departure_delay_72h,26,26499735.33398432,687.8502120672513,20260934
D1,la_lb_departure_delay_72h,27,26517841.82440166,687.62956523166,20260934
D1,la_lb_departure_delay_72h,28,26543539.851621117,687.5373365028944,20260907
D1,la_lb_departure_delay_72h,29,26561893.358093537,687.4826461743908,20260934
D1,la_lb_departure_delay_72h,30,26574683.1121765,686.9223424253242,20260907
D1,la_lb_departure_delay_72h,31,26626403.433013868,686.8328036825725,20260907
