solution_id,case_id,scenario,roles,source_seed,total_cost_usd,quantity_weighted_mean_delivery_time_h,makespan_h,max_lead_time_h,total_tardiness_feu_h,route_allocations
D1_la_lb_departure_delay_72h_001,D1,la_lb_departure_delay_72h,min_cost,20260934,26016061.05393632,692.3458457792964,748.8,748.8,4891.230426851444,78
D1_la_lb_departure_delay_72h_002,D1,la_lb_departure_delay_72h,,20260934,26029200.1697573,692.0435201155509,748.8,748.8,4826.860141150093,78
D1_la_lb_departure_delay_72h_003,D1,la_lb_departure_delay_72h,,20260934,26078723.192549054,691.7978094502496,748.8,748.8,4482.357426639549,82
D1_la_lb_departure_delay_72h_004,D1,la_lb_departure_delay_72h,,20260934,26134719.47948193,691.44947810229,748.8,748.8,4891.230426851444,81
D1_la_lb_departure_delay_72h_005,D1,la_lb_departure_delay_72h,,20260934,26139593.99387966,691.0625403463445,748.8,748.8,4637.926731991657,80
D1_la_lb_departure_delay_72h_006,D1,la_lb_departure_delay_72h,,20260934,26168417.72670333,690.9970563184091,748.8,748.8,4684.816215482101,81
D1_la_lb_departure_delay_72h_007,D1,la_lb_departure_delay_72h,,20260934,26177238.121685084,690.8454962484287,748.8,748.8,4565.195627648017,81
D1_la_lb_departure_delay_72h_008,D1,la_lb_departure_delay_72h,,20260934,26200303.912962556,690.8065232083154,748.8,748.8,4172.58759478496,80
D1_la_lb_departure_delay_72h_009,D1,la_lb_departure_delay_72h,,20260934,26231639.343988366,690.484535019354,748.8,748.8,4434.2961861875165,81
D1_la_lb_departure_delay_72h_010,D1,la_lb_departure_delay_72h,,20260934,26240687.51975969,689.8581582104244,748.8,748.8,4082.608729738553,81
D1_la_lb_departure_delay_72h_011,D1,la_lb_departure_delay_72h,,20260934,26268968.929012734,689.6169040882354,748.8,748.8,4226.8939084778385,82
D1_la_lb_departure_delay_72h_012,D1,la_lb_departure_delay_72h,,20260934,26273314.94510871,689.3728371180489,748.8,748.8,3932.730931809392,79
D1_la_lb_departure_delay_72h_013,D1,la_lb_departure_delay_72h,,20260934,26342330.498310756,689.2703736526673,748.8,748.8,4009.507998370051,80
D1_la_lb_departure_delay_72h_014,D1,la_lb_departure_delay_72h,,20260934,26361989.747323584,688.9773981795885,748.8,748.8,4285.540808679029,81
D1_la_lb_departure_delay_72h_015,D1,la_lb_departure_delay_72h,,20260934,26377534.519217987,688.9334421591581,748.8,748.8,3844.5100239142002,77
D1_la_lb_departure_delay_72h_016,D1,la_lb_departure_delay_72h,,20260934,26383580.343363542,688.785380170094,748.8,748.8,4363.836914742666,83
D1_la_lb_departure_delay_72h_017,D1,la_lb_departure_delay_72h,,20260934,26392824.713867553,688.7362507233314,748.8,748.8,4005.3690895941604,74
D1_la_lb_departure_delay_72h_018,D1,la_lb_departure_delay_72h,,20260934,26419640.317505762,688.6507250594411,748.8,748.8,4026.078339988762,74
D1_la_lb_departure_delay_72h_019,D1,la_lb_departure_delay_72h,,20260934,26428038.60177476,688.6338354965936,748.8,748.8,4194.455256272289,76
D1_la_lb_departure_delay_72h_020,D1,la_lb_departure_delay_72h,,20260934,26443093.822888754,688.4355315845111,748.8,748.8,4500.424305527359,84
D1_la_lb_departure_delay_72h_021,D1,la_lb_departure_delay_72h,,20260934,26445995.71522261,688.2692560891155,748.8,748.8,4089.9839938650357,81
D1_la_lb_departure_delay_72h_022,D1,la_lb_departure_delay_72h,,20260934,26446171.43677125,688.1766499186436,748.8,748.8,3875.86047831273,75
D1_la_lb_departure_delay_72h_023,D1,la_lb_departure_delay_72h,,20260934,26453464.617970962,688.1459956223389,748.8,748.8,3590.835107888777,75
D1_la_lb_departure_delay_72h_024,D1,la_lb_departure_delay_72h,,20260934,26481827.688342787,688.0524769237961,748.8,748.8,4300.1527396291485,84
D1_la_lb_departure_delay_72h_025,D1,la_lb_departure_delay_72h,,20260934,26488675.10493607,688.0010660030343,748.8,748.8,3944.797612139268,78
D1_la_lb_departure_delay_72h_026,D1,la_lb_departure_delay_72h,,20260934,26499735.33398432,687.8502120672513,748.8,748.8,3865.477379883134,75
D1_la_lb_departure_delay_72h_027,D1,la_lb_departure_delay_72h,,20260934,26517841.82440166,687.62956523166,748.8,748.8,3891.1727278774056,75
D1_la_lb_departure_delay_72h_028,D1,la_lb_departure_delay_72h,,20260907,26543539.851621117,687.5373365028944,715.2,715.2,4165.165990901246,82
D1_la_lb_departure_delay_72h_029,D1,la_lb_departure_delay_72h,,20260934,26561893.358093537,687.4826461743908,748.8,748.8,3954.555544563195,79
D1_la_lb_departure_delay_72h_030,D1,la_lb_departure_delay_72h,,20260907,26574683.1121765,686.9223424253242,715.2,715.2,3714.032657749047,79
D1_la_lb_departure_delay_72h_031,D1,la_lb_departure_delay_72h,,20260907,26626403.433013868,686.8328036825725,748.8,748.8,3767.4907501596035,82
D1_la_lb_departure_delay_72h_032,D1,la_lb_departure_delay_72h,,20260907,26648073.056295406,686.4669959390519,715.2,715.2,3566.6373865415617,79
D1_la_lb_departure_delay_72h_033,D1,la_lb_departure_delay_72h,,20260928,26699899.157598056,686.1865797847465,748.8,748.8,4253.6920576118655,71
