case_id,scenario,runs,successful_runs,success_rate,total_front_points,union_front_size,best_cost_usd,cost_median_usd,cost_q1_usd,cost_q3_usd,best_weighted_mean_delivery_time_h,weighted_mean_delivery_time_median_h,weighted_mean_delivery_time_q1_h,weighted_mean_delivery_time_q3_h,hypervolume_median,hypervolume_q1,hypervolume_q3,spacing_median,elapsed_median_seconds,elapsed_total_seconds,ideal_cost_usd,ideal_weighted_mean_delivery_time_h,nadir_cost_usd,nadir_weighted_mean_delivery_time_h,hypervolume_reference_normalized
D1,pilot_baseline,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,14.803709943080321,441.9534637061879,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D1,uswc_compound_30pct_delay_168h,30,30,1.0,146,3,59604141.85182337,60401867.731110185,60113786.47344929,60632814.062772274,839.107531905242,840.7909689239095,840.2044669375985,841.1642908675194,0.5210408690497501,0.43279298880578415,0.6444965893186068,0.025128076491590764,14.332320903427899,430.3405410195701,59604141.85182337,839.107531905242,62105327.76431714,843.4318254007961,1.1|1.1
D1,uswc_compound_40pct_delay_168h,30,30,1.0,165,5,55008374.97447692,56242678.087818414,55975791.246715985,56472343.73208938,822.9712636347549,824.96675546594,824.2501207607946,825.7714213061332,0.4524504661069251,0.36231854223336857,0.6070663933691234,0.028055213908507074,14.342704004840925,428.1142336744815,55008374.97447692,822.9712636347549,57679966.24240799,829.3437496281155,1.1|1.1
D1,uswc_departure_delay_240h,30,30,1.0,116,9,64369302.18211224,64737971.327066824,64600078.52189498,64831200.69578418,842.7569994072766,843.2081512310824,842.9953714765358,843.7326122447633,0.7808259030356064,0.6926713012238919,0.9043930864882288,0.021245601923549073,12.760983592132106,382.86380753992125,64369302.18211224,842.7569994072766,65608720.636443615,846.743886070369,1.1|1.1
D1,uswc_departure_delay_336h,30,30,1.0,207,20,82929769.21975762,83289601.54967162,83115339.39810954,83388860.67817916,909.832112505777,911.2353699859168,910.62304066504,911.7624904289285,0.6075802358730582,0.44281234842882433,0.742528140337331,0.02944784992346982,12.33487521414645,370.8403926482424,82929769.21975762,909.832112505777,83844227.21837309,915.3370829642581,1.1|1.1
D1,uswc_port_capacity_675pct,30,30,1.0,1006,80,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,618.5277925788452,623.5874171437874,620.6839726029082,626.399026187485,0.7588924198702823,0.7224494251037137,0.7762641132255298,0.017003468423740703,14.864969960879534,442.60535064479336,24842445.19812098,618.5277925788452,27049678.61617833,660.4667559181308,1.1|1.1
D2,pilot_baseline,30,30,1.0,747,68,25042488.426821988,25277711.995491184,25162655.08831432,25387293.896634724,614.2157580011346,622.7134638938032,620.0441222027036,623.8528136555974,0.7428470213817568,0.6924363499869198,0.7762983850559437,0.021497814070183138,14.342226594453678,428.23216219898313,25042488.426821988,614.2157580011346,26640245.027966164,648.8895653143628,1.1|1.1
D2,uswc_compound_30pct_delay_168h,30,30,1.0,104,4,60899943.658607885,61944276.53001292,61673059.96036318,62073362.74113142,842.6801379806152,843.7851195279131,843.2235499534847,844.4799212627306,0.6070596472359794,0.44328184991188585,0.7171064295699937,0.011427499496520811,13.776004179613665,412.26898445189,60899943.658607885,842.6801379806152,63254966.44778253,847.9995634510807,1.1|1.1
D2,uswc_compound_40pct_delay_168h,30,30,1.0,102,4,55515460.14484352,56849728.53609352,56568668.927183114,57094098.97921926,823.1522450227264,825.510335037188,824.6329374144482,826.1137115635195,0.4267460878671876,0.2591270604769199,0.5751392038686391,0.025421961093356808,13.670143760507926,409.9841038826853,55515460.14484352,823.1522450227264,58355397.77852435,828.6927435188453,1.1|1.1
D2,uswc_departure_delay_240h,30,30,1.0,86,9,63849495.517318726,64420080.13864241,64255185.50032672,64594900.73283363,845.5125965654852,846.2130186360326,845.9875811343396,846.9404328938314,0.5482202272234875,0.34532448064821236,0.6969612582267773,0.009864982987835693,12.215115887578577,368.4939185506664,63849495.517318726,845.5125965654852,65233306.26621337,847.9925572039768,1.1|1.1
