case_id,scenario,runs,successful_runs,success_rate,total_front_points,union_front_size,best_cost_usd,cost_median_usd,cost_q1_usd,cost_q3_usd,best_weighted_mean_delivery_time_h,weighted_mean_delivery_time_median_h,weighted_mean_delivery_time_q1_h,weighted_mean_delivery_time_q3_h,hypervolume_median,hypervolume_q1,hypervolume_q3,spacing_median,elapsed_median_seconds,elapsed_total_seconds,ideal_cost_usd,ideal_weighted_mean_delivery_time_h,nadir_cost_usd,nadir_weighted_mean_delivery_time_h,hypervolume_reference_normalized
D1,pilot_baseline,30,30,1.0,1014,84,24842445.19812098,25356256.0842871,25226298.440622937,25541187.051981695,615.6406286172274,623.5874171437874,620.6839726029082,626.399026187485,0.6853885518781282,0.6522381499375898,0.7060945015904141,0.0160789787905508,14.678366284351796,437.6449200785719,24842445.19812098,615.6406286172274,26855577.960465163,660.4667559181308,1.1|1.1
D1,uswc_compound_35pct_delay_168h,30,30,1.0,120,5,56733001.576559626,57870307.98054317,57574104.081915975,58184596.413207665,829.5984038396845,832.2218107769081,831.6065943060898,833.0275922116821,0.4871906290521547,0.3534252383357111,0.6369413123584974,0.015540648370234417,14.03770228358917,420.44844875251874,56733001.576559626,829.5984038396845,59867331.384195186,836.3193777444551,1.1|1.1
D1,uswc_departure_delay_264h,30,30,1.0,113,6,72731464.43192534,73057368.14809035,72933651.93477166,73152874.59861483,870.0631984982109,870.2744570575236,870.1899301134404,870.3098964866435,0.6290471135466112,0.48570296479280173,0.8330302042477351,0.02277422421118844,12.355762029299513,371.21254682401195,72731464.43192534,870.0631984982109,73482431.09216787,871.4808035090592,1.1|1.1
D1,uswc_departure_delay_288h,30,30,1.0,215,24,78542839.12896906,78779109.57072288,78719789.29292439,78842291.61084548,887.0435716556977,888.1705108242454,887.703473885452,888.7604763875228,0.573529616516125,0.45359237317919016,0.6946095894044098,0.029089623025085224,11.816090472973883,353.6103707891889,78542839.12896906,887.0435716556977,79266582.70800392,891.0367888254128,1.1|1.1
D1,uswc_departure_delay_312h,30,30,1.0,219,21,80785001.55959193,80964839.50750338,80929663.17624545,81015535.20082909,901.2314097991348,901.9142889254493,901.7293510035995,902.2450278391792,0.5310981280837819,0.4381957952544369,0.6663912037416811,0.034619244449886385,12.303186007542536,367.13271091040224,80785001.55959193,901.2314097991348,81234225.295227,904.3281382296701,1.1|1.1
D2,pilot_baseline,30,30,1.0,747,68,25042488.426821988,25277711.995491184,25162655.08831432,25387293.896634724,614.2157580011346,622.7134638938032,620.0441222027036,623.8528136555974,0.7428470213817568,0.6924363499869198,0.7762983850559437,0.021497814070183138,14.219185182126239,425.3942197971046,25042488.426821988,614.2157580011346,26640245.027966164,648.8895653143628,1.1|1.1
D2,uswc_compound_35pct_delay_168h,30,30,1.0,110,8,57434279.83125333,59192873.60300453,58906481.16986948,59525008.89659606,832.3766688412336,833.9502515427675,833.3663042322901,834.8296797727792,0.5093410350015222,0.3717066172286374,0.6255330672151513,0.01271386203257718,13.607715797843412,408.58189979568124,57434279.83125333,832.3766688412336,60851391.69143839,840.0706367763596,1.1|1.1
D2,uswc_departure_delay_264h,30,30,1.0,199,19,71845630.0229117,72496170.24341398,72345104.37760547,72571530.87429598,870.1199623175451,870.974779386793,870.7350404842031,871.241015335735,0.39474937089031004,0.27830218511015,0.5241999362371106,0.02496691824114519,11.981915505602956,358.3254523957148,71845630.0229117,870.1199623175451,73131376.46998456,872.2254420801422,1.1|1.1
D2,uswc_departure_delay_288h,30,30,1.0,78,12,77862807.09652655,78137774.25766948,78013239.33127461,78278462.83385614,885.6760227759268,886.7849730571841,886.2953819941897,887.5056010096068,0.5489307477011925,0.2436286835205422,0.7313557765989892,0.0,11.690486937994137,352.52835431694984,77862807.09652655,885.6760227759268,78573226.59317493,888.868440535061,1.1|1.1
D2,uswc_departure_delay_312h,30,30,1.0,158,33,82945224.03710312,83087339.7034888,83041951.91697706,83158404.13458386,901.8733374295607,902.7766029443815,902.4373219884343,903.2756408976707,0.4646988544565726,0.21559937385078617,0.6730449645681407,0.015109662592351265,11.877947790548205,357.15992265893146,82945224.03710312,901.8733374295607,83254708.78241715,904.5321384121078,1.1|1.1
