solution_id,case_id,scenario,roles,source_seed,total_cost_usd,quantity_weighted_mean_delivery_time_h,makespan_h,max_lead_time_h,total_tardiness_feu_h,route_allocations
D1_pilot_baseline_001,D1,pilot_baseline,min_cost,20260906,24842445.19812098,660.4667559181308,748.8,748.8,3447.639452293473,84
D1_pilot_baseline_002,D1,pilot_baseline,,20260906,24848650.87177561,660.0019607945736,748.8,748.8,3195.984157543646,80
D1_pilot_baseline_003,D1,pilot_baseline,,20260906,24883568.201326527,658.6343352527729,748.8,748.8,3031.3392750231387,81
D1_pilot_baseline_004,D1,pilot_baseline,,20260906,24888497.304555107,653.2299622158317,748.8,748.8,2410.918651253123,81
D1_pilot_baseline_005,D1,pilot_baseline,,20260906,24952312.852573715,653.0169489543077,748.8,748.8,2522.1870245361483,82
D1_pilot_baseline_006,D1,pilot_baseline,,20260906,24988661.712288722,651.8252915182069,748.8,748.8,2571.3402814603764,82
D1_pilot_baseline_007,D1,pilot_baseline,,20260906,25015801.614312228,651.7410650440858,748.8,748.8,2314.6899427662643,83
D1_pilot_baseline_008,D1,pilot_baseline,,20260906,25027305.75699999,648.6471827837831,748.8,748.8,1885.1303826520066,82
D1_pilot_baseline_009,D1,pilot_baseline,,20260906,25048405.284625843,647.9674761935964,748.8,748.8,1621.2231466896915,81
D1_pilot_baseline_010,D1,pilot_baseline,,20260906,25145924.420690563,647.4400488001354,748.8,748.8,2250.5025338607297,83
D1_pilot_baseline_011,D1,pilot_baseline,,20260906,25150426.31195558,646.7272102563984,748.8,748.8,2056.380881729024,84
D1_pilot_baseline_012,D1,pilot_baseline,,20260906,25154848.34343224,646.6180078702163,748.8,748.8,2109.5809464164067,82
D1_pilot_baseline_013,D1,pilot_baseline,,20260933,25177392.60003796,645.9118055369357,748.8,748.8,1050.554768631837,86
D1_pilot_baseline_014,D1,pilot_baseline,,20260923,25183901.81765151,644.1530559632971,748.8,748.8,1092.2041794689367,90
D1_pilot_baseline_015,D1,pilot_baseline,,20260923,25195300.396754384,644.1155008779716,748.8,748.8,1149.4124496892587,90
D1_pilot_baseline_016,D1,pilot_baseline,,20260933,25213844.15011067,643.8694508795252,748.8,748.8,1002.5291500635353,85
D1_pilot_baseline_017,D1,pilot_baseline,,20260932,25221481.169953357,642.4337207184383,748.8,748.8,1145.6364887855073,85
D1_pilot_baseline_018,D1,pilot_baseline,,20260912,25245563.86645435,640.9869864564172,748.8,748.8,647.5621327081191,79
