0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033,0.033,0.033,0.033,0.033,0.0385,0.0385,0.0385,0.0385,0.0385,0.0855,0.0855,0.0855,0.0855,0.0855,0.151,0.151,0.151,0.151,0.151,0.164,0.164,0.164,0.164,0.164,0.1665,0.1665,0.1665,0.1665,0.1665,0.2355,0.2355,0.2355,0.2355,0.2355,0.243,0.243,0.243,0.243,0.243,0.25,0.25,0.25,0.25,0.25,0.2545,0.2545,0.2545,0.2545,0.2545,0.2605,0.2605,0.2605,0.2605,0.2605,0.2615,0.2615,0.2615,0.2615,0.2615,0.2645,0.2645,0.2645,0.2645,0.2645,0.2735,0.2735,0.2735,0.2735,0.2735,0.276,0.276,0.276,0.276,0.276,0.278,0.278,0.278,0.278,0.278,0.281,0.281,0.281,0.281,0.281,0.2885,0.2885,0.2885,0.2885,0.2885,0.291,0.291,0.291,0.291,0.291,0.293,0.293,0.293,0.293,0.293,0.298,0.298,0.298,0.298,0.298,0.2995,0.2995,0.2995,0.2995,0.2995,0.303,0.303,0.303,0.303,0.303,0.3045,0.3045,0.3045,0.3045,0.3045,0.308,0.308,0.308,0.308,0.308,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.3095,0.3095,0.3095,0.3095,0.3095,0.309,0.309,0.309,0.309,0.309,0.3105,0.3105,0.3105,0.3105,0.3105,0.3135,0.3135,0.3135,0.3135,0.3135,0.3155,0.3155,0.3155,0.3155,0.3155
0.0135,0.0135,0.0135,0.0135,0.0135,0.0255,0.0255,0.0255,0.0255,0.0255,0.0525,0.0525,0.0525,0.0525,0.0525,0.064,0.064,0.064,0.064,0.064,0.068,0.068,0.068,0.068,0.068,0.0725,0.0725,0.0725,0.0725,0.0725,0.091,0.091,0.091,0.091,0.091,0.1365,0.1365,0.1365,0.1365,0.1365,0.141,0.141,0.141,0.141,0.141,0.2415,0.2415,0.2415,0.2415,0.2415,0.243,0.243,0.243,0.243,0.243,0.2445,0.2445,0.2445,0.2445,0.2445,0.2485,0.2485,0.2485,0.2485,0.2485,0.2505,0.2505,0.2505,0.2505,0.2505,0.2495,0.2495,0.2495,0.2495,0.2495,0.2555,0.2555,0.2555,0.2555,0.2555,0.2585,0.2585,0.2585,0.2585,0.2585,0.2605,0.2605,0.2605,0.2605,0.2605,0.262,0.262,0.262,0.262,0.262,0.2615,0.2615,0.2615,0.2615,0.2615,0.2655,0.2655,0.2655,0.2655,0.2655,0.2645,0.2645,0.2645,0.2645,0.2645,0.266,0.266,0.266,0.266,0.266,0.2665,0.2665,0.2665,0.2665,0.2665,0.2675,0.2675,0.2675,0.2675,0.2675,0.2715,0.2715,0.2715,0.2715,0.2715,0.2765,0.2765,0.2765,0.2765,0.2765,0.276,0.276,0.276,0.276,0.276,0.2765,0.2765,0.2765,0.2765,0.2765,0.278,0.278,0.278,0.278,0.278,0.2775,0.2775,0.2775,0.2775,0.2775,0.2785,0.2785,0.2785,0.2785,0.2785
0.0155,0.0155,0.0155,0.0155,0.0155,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.07,0.07,0.076,0.076,0.076,0.076,0.076,0.0815,0.0815,0.0815,0.0815,0.0815,0.087,0.087,0.087,0.087,0.087,0.0945,0.0945,0.0945,0.0945,0.0945,0.1025,0.1025,0.1025,0.1025,0.1025,0.103,0.103,0.103,0.103,0.103,0.1065,0.1065,0.1065,0.1065,0.1065,0.1105,0.1105,0.1105,0.1105,0.1105,0.113,0.113,0.113,0.113,0.113,0.112,0.112,0.112,0.112,0.112,0.1155,0.1155,0.1155,0.1155,0.1155,0.1175,0.1175,0.1175,0.1175,0.1175,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.1205,0.1205,0.1205,0.1205,0.1205,0.127,0.127,0.127,0.127,0.127,0.1295,0.1295,0.1295,0.1295,0.1295,0.1305,0.1305,0.1305,0.1305,0.1305,0.1315,0.1315,0.1315,0.1315,0.1315,0.1315,0.1315,0.1315,0.1315,0.1315,0.1485,0.1485,0.1485,0.1485,0.1485,0.1555,0.1555,0.1555,0.1555,0.1555,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.173,0.173,0.173,0.173,0.173,0.1775,0.1775,0.1775,0.1775,0.1775,0.177,0.177,0.177,0.177,0.177,0.1805,0.1805,0.1805,0.1805,0.1805,0.183,0.183,0.183,0.183,0.183
0.0185,0.0185,0.0185,0.0185,0.0185,0.023,0.023,0.023,0.023,0.023,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.039,0.039,0.039,0.039,0.039,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,0.0015,0.0015,0.0015,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
0.2945,0.2945,0.2945,0.2945,0.2945,0.4515,0.4515,0.4515,0.4515,0.4515,0.539,0.539,0.539,0.539,0.539,0.5695,0.5695,0.5695,0.5695,0.5695,0.5845,0.5845,0.5845,0.5845,0.5845,0.5915,0.5915,0.5915,0.5915,0.5915,0.5955,0.5955,0.5955,0.5955,0.5955,0.599,0.599,0.599,0.599,0.599,0.602,0.602,0.602,0.602,0.602,0.604,0.604,0.604,0.604,0.604,0.6065,0.6065,0.6065,0.6065,0.6065,0.6105,0.6105,0.6105,0.6105,0.6105,0.612,0.612,0.612,0.612,0.612,0.613,0.613,0.613,0.613,0.613,0.614,0.614,0.614,0.614,0.614,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.6165,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.618,0.618,0.618,0.618,0.618,0.6185,0.6185,0.6185,0.6185,0.6185,0.62,0.62,0.62,0.62,0.62,0.6205,0.6205,0.6205,0.6205,0.6205,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.6215,0.622,0.622,0.622,0.622,0.622,0.623,0.623,0.623,0.623,0.623,0.6285,0.6285,0.6285,0.6285,0.6285
0.002,0.002,0.002,0.002,0.002,0.0135,0.0135,0.0135,0.0135,0.0135,0.026,0.026,0.026,0.026,0.026,0.042,0.042,0.042,0.042,0.042,0.045,0.045,0.045,0.045,0.045,0.051,0.051,0.051,0.051,0.051,0.0555,0.0555,0.0555,0.0555,0.0555,0.0565,0.0565,0.0565,0.0565,0.0565,0.058,0.058,0.058,0.058,0.058,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.0675,0.0675,0.0675,0.0675,0.0675,0.069,0.069,0.069,0.069,0.069,0.074,0.074,0.074,0.074,0.074,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.0765,0.0765,0.0765,0.0765,0.0765,0.085,0.085,0.085,0.085,0.085,0.086,0.086,0.086,0.086,0.086,0.087,0.087,0.087,0.087,0.087,0.088,0.088,0.088,0.088,0.088,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885,0.089,0.089,0.089,0.089,0.089,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.0895,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.091,0.091,0.091,0.091,0.091,0.0925,0.0925,0.0925,0.0925,0.0925
0.0,0.0,0.0,0.0,0.0,0.0085,0.0085,0.0085,0.0085,0.0085,0.0565,0.0565,0.0565,0.0565,0.0565,0.0615,0.0615,0.0615,0.0615,0.0615,0.081,0.081,0.081,0.081,0.081,0.082,0.082,0.082,0.082,0.082,0.089,0.089,0.089,0.089,0.089,0.09,0.09,0.09,0.09,0.09,0.0905,0.0905,0.0905,0.0905,0.0905,0.091,0.091,0.091,0.091,0.091,0.0915,0.0915,0.0915,0.0915,0.0915,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.0925,0.0925,0.0925,0.0925,0.0925,0.0935,0.0935,0.0935,0.0935,0.0935,0.094,0.094,0.094,0.094,0.094,0.0955,0.0955,0.0955,0.0955,0.0955,0.096,0.096,0.096,0.096,0.096,0.0965,0.0965,0.0965,0.0965,0.0965,0.096,0.096,0.096,0.096,0.096,0.0965,0.0965,0.0965,0.0965,0.0965,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.0965,0.0965,0.0965,0.0965,0.0965,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005
0.0055,0.0055,0.0055,0.0055,0.0055,0.0435,0.0435,0.0435,0.0435,0.0435,0.0565,0.0565,0.0565,0.0565,0.0565,0.0635,0.0635,0.0635,0.0635,0.0635,0.0705,0.0705,0.0705,0.0705,0.0705,0.0725,0.0725,0.0725,0.0725,0.0725,0.074,0.074,0.074,0.074,0.074,0.0765,0.0765,0.0765,0.0765,0.0765,0.0865,0.0865,0.0865,0.0865,0.0865,0.088,0.088,0.088,0.088,0.088,0.0885,0.0885,0.0885,0.0885,0.0885,0.089,0.089,0.089,0.089,0.089,0.098,0.098,0.098,0.098,0.098,0.0985,0.0985,0.0985,0.0985,0.0985,0.1005,0.1005,0.1005,0.1005,0.1005,0.101,0.101,0.101,0.101,0.101,0.0995,0.0995,0.0995,0.0995,0.0995,0.1,0.1,0.1,0.1,0.1,0.1365,0.1365,0.1365,0.1365,0.1365,0.137,0.137,0.137,0.137,0.137,0.1365,0.1365,0.1365,0.1365,0.1365,0.163,0.163,0.163,0.163,0.163,0.1645,0.1645,0.1645,0.1645,0.1645,0.175,0.175,0.175,0.175,0.175,0.1745,0.1745,0.1745,0.1745,0.1745,0.1755,0.1755,0.1755,0.1755,0.1755,0.1795,0.1795,0.1795,0.1795,0.1795,0.18,0.18,0.18,0.18,0.18,0.179,0.179,0.179,0.179,0.179,0.182,0.182,0.182,0.182,0.182,0.1845,0.1845,0.1845,0.1845,0.1845,0.1845,0.1845,0.1845,0.1845,0.1845
