gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_emission_gCO2,min_time,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
0,0.2635,1.0,0.0,127556213019.2424,1361423556.6052053,634.5675,0.0,0.0,0.0,0.0,2551.4866451031885,1806.9050967394712
1,0.2635,1.0,0.0,111797962062.9694,1309192269.1894014,634.5675,0.0,0.0,0.0,0.0,2479.700828170579,1760.0246135426173
2,0.2635,1.0,0.0,111797962062.9694,1297927000.7196157,634.5675,0.0,0.0,0.0,0.0,2373.285948558493,1709.3560928240704
3,0.2635,1.0,0.0,111797962062.9694,1269574874.9715707,631.0325,0.0,0.0,0.0,0.0,2338.575966176507,1706.7150154861263
4,0.2635,1.0,0.0,111797962062.9694,1228636049.5974133,631.0325,0.0,0.0,0.0,0.0,2337.8634695612204,1722.8634003443244
5,0.3955,1.0,0.0,107501952046.22276,1228636049.5974133,631.0325,0.0,0.0,0.0,0.0,2331.191750582864,1733.777797370512
6,0.3955,1.0,0.0,107501952046.22276,1228636049.5974133,628.7771428571428,0.0,0.0,0.0,0.0,2367.56095257864,1764.14728285982
7,0.3955,1.0,0.0,107501952046.22276,1228636049.5974133,628.7771428571428,0.0,0.0,0.0,0.0,2330.8800866678107,1744.99425693091
8,0.3955,1.0,0.0,107501952046.22276,1227173555.6273985,607.4250000000001,0.0,0.0,0.0,0.0,2284.0354911316535,1715.6456793859977
9,0.3955,1.0,0.0,107501952046.22276,1227173555.6273985,607.4250000000001,0.0,0.0,0.0,0.0,2281.8131728963667,1714.6166778135923
10,0.438,1.0,0.0,102239773127.55875,1219556091.8245485,607.4250000000001,0.0,0.0,0.0,0.0,2272.349927288182,1713.038895918916
11,0.438,1.0,0.0,102239773127.55875,1219556091.8245485,606.2471428571428,0.0,0.0,0.0,0.0,2300.6305686317087,1724.931484735442
12,0.438,1.0,0.0,98678684452.84697,1219556091.8245485,606.2471428571428,0.0,0.0,0.0,0.0,2302.5279270514907,1726.5955931502076
13,0.438,1.0,0.0,98678684452.84697,1219556091.8245485,606.2471428571428,0.0,0.0,0.0,0.0,2294.8367124697847,1719.2003453362374
14,0.438,1.0,0.0,98678684452.84697,1219556091.8245485,606.2471428571428,0.0,0.0,0.0,0.0,2264.1586245585804,1695.082715771872
15,0.463,1.0,0.0,98006281600.25629,1219556091.8245485,606.2471428571428,0.0,0.0,0.0,0.0,2213.1149649299186,1669.7585226301817
16,0.463,1.0,0.0,98006281600.25629,1219556091.8245485,606.2471428571428,0.0,0.0,0.0,0.0,2200.271410623535,1659.7198487982614
17,0.463,1.0,0.0,98006281600.25629,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2188.9544028486025,1644.1342103270815
18,0.463,1.0,0.0,98006281600.25629,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2182.505306959881,1641.7832120418627
19,0.463,1.0,0.0,98006281600.25629,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2210.5753373043644,1656.8591222839293
20,0.4795,1.0,0.0,98006281600.25629,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2214.720837415751,1663.8437163129297
21,0.4795,1.0,0.0,98006281600.25629,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2209.9353648042124,1666.3270755953513
22,0.4795,1.0,0.0,98006281600.25629,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2240.5161317279512,1688.6559024043843
23,0.4795,1.0,0.0,98006281600.25629,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2240.1397646838886,1686.671738502336
24,0.4795,1.0,0.0,97433478855.91432,1204108892.3438103,604.7283333333334,0.0,0.0,0.0,0.0,2221.5795719357798,1676.9264940214853
25,0.523,1.0,0.0,93768848223.02771,1204108892.3438103,587.4371428571428,0.0,0.0,0.0,0.0,2249.46160325447,1698.6658778120584
26,0.523,1.0,0.0,93768848223.02771,1204108892.3438103,587.4371428571428,0.0,0.0,0.0,0.0,2246.6195564658397,1696.7161384744359
27,0.523,1.0,0.0,93768848223.02771,1204108892.3438103,587.4371428571428,0.0,0.0,0.0,0.0,2250.1507459545046,1698.8372198491734
28,0.523,1.0,0.0,93768848223.02771,1204108892.3438103,587.4371428571428,0.0,0.0,0.0,0.0,2248.3821091297327,1697.0083763860544
29,0.523,1.0,0.0,93768848223.02771,1202672281.012826,587.4371428571428,0.0,0.0,0.0,0.0,2261.0318355298923,1704.042312784798
30,0.524,1.0,0.0,93768848223.02771,1202672281.012826,587.4371428571428,0.0,0.0,0.0,0.0,2269.5192688280936,1710.9573630212449
31,0.524,1.0,0.0,93768848223.02771,1202672281.012826,587.4371428571428,0.0,0.0,0.0,0.0,2261.222445036338,1703.2230456344557
32,0.524,1.0,0.0,93768848223.02771,1202672281.012826,587.4371428571428,0.0,0.0,0.0,0.0,2229.5444454629173,1684.0434983091882
33,0.524,1.0,0.0,93768848223.02771,1202207192.9944408,587.1659523809523,0.0,0.0,0.0,0.0,2242.7413311044047,1688.7779628719907
34,0.524,1.0,0.0,92238345623.06116,1202207192.9944408,587.1659523809523,0.0,0.0,0.0,0.0,2221.551896871408,1677.6751676222939
35,0.539,1.0,0.0,91039903884.4682,1202207192.9944408,587.1659523809523,0.0,0.0,0.0,0.0,2215.5965705934345,1674.928188603297
36,0.539,1.0,0.0,91039903884.4682,1202207192.9944408,587.1659523809523,0.0,0.0,0.0,0.0,2218.5536714853442,1678.047444672191
37,0.539,1.0,0.0,88993993116.45992,1202207192.9944408,587.1659523809523,0.0,0.0,0.0,0.0,2197.901870664874,1668.8627860796134
38,0.539,1.0,0.0,88993993116.45992,1202207192.9944408,587.1659523809523,0.0,0.0,0.0,0.0,2194.4374353792327,1667.437930811113
39,0.539,1.0,0.0,88993993116.45992,1202207192.9944408,587.022619047619,0.0,0.0,0.0,0.0,2219.474573486802,1684.5837376885547
40,0.5535,1.0,0.0,88993993116.45992,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2204.233635789045,1676.2614193999323
41,0.5535,1.0,0.0,88993993116.45992,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2207.0098627820435,1674.2504141806785
42,0.5535,1.0,0.0,88993993116.45992,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2223.173174000155,1680.2126753793675
43,0.5535,1.0,0.0,88993993116.45992,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2216.345132060009,1674.975455703439
44,0.5535,1.0,0.0,85187114347.12396,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2199.3019883788975,1669.7126753095438
45,0.5585,1.0,0.0,85187114347.12396,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2206.8241062961683,1675.5043758497745
46,0.5585,1.0,0.0,85187114347.12396,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2212.954340799988,1682.6914731504492
47,0.5585,1.0,0.0,85187114347.12396,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2194.986581226302,1672.5771529539747
48,0.5585,1.0,0.0,85187114347.12396,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2193.2358760474417,1673.5620870709045
49,0.5585,1.0,0.0,85187114347.12396,1202207192.9944408,579.9838095238094,0.0,0.0,0.0,0.0,2189.1606235242702,1669.689950493857
50,0.5645,1.0,0.0,85187114347.12396,1202061447.0727832,579.9838095238094,0.0,0.0,0.0,0.0,2171.4602357516146,1659.9419014094108
51,0.5645,1.0,0.0,85187114347.12396,1202061447.0727832,579.9838095238094,0.0,0.0,0.0,0.0,2147.717764205896,1643.5684881770687
52,0.5645,1.0,0.0,85187114347.12396,1202061447.0727832,579.9838095238094,0.0,0.0,0.0,0.0,2155.4547028648735,1646.2154456357841
53,0.5645,1.0,0.0,85187114347.12396,1201170333.127472,579.9838095238094,0.0,0.0,0.0,0.0,2168.5124131304274,1652.174430346557
54,0.5645,1.0,0.0,85187114347.12396,1201170333.127472,579.9838095238094,0.0,0.0,0.0,0.0,2175.2841347728777,1651.8761480741168
