gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_emission_gCO2,min_time,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
0,0.0,0.65,0.65,6629501.103097546,618537236.1705173,429.6588095238095,0.0,0.0,280.77588470645077,0.0,152.09786016317506,1035.8157326568462
1,0.0,1.0,1.0,6188617.305932686,612476571.8765296,429.6588095238095,0.0,0.0,0.0,0.0,203.651186569376,1383.8390292321048
2,0.0,1.0,1.0,6165654.398651249,534471034.3387627,429.6588095238095,0.0,0.0,0.0,0.0,190.8449991136951,1397.336754837365
3,0.0,1.0,1.0,6165654.398651249,465072773.0134299,429.6588095238095,0.0,0.0,0.0,0.0,171.98121668144046,1401.6086874667694
4,0.0,1.0,1.0,5964327.650620017,465072773.0134299,429.6588095238095,0.0,0.0,0.0,0.0,181.49035639041188,1501.340470375888
5,0.0015,1.0,1.0,5923346.06776287,428439198.5360543,414.75595238095235,0.0,0.0,0.0,0.0,176.99637947619095,1536.1152379283042
6,0.0015,1.0,1.0,5846816.981696138,428439198.5360543,414.75595238095235,0.0,0.0,0.0,0.0,148.1572850908438,1476.549734694856
7,0.0015,1.0,1.0,5521588.456162956,428439198.5360543,414.75595238095235,0.0,0.0,0.0,0.0,159.87328672236302,1567.7259634142763
8,0.0015,1.0,1.0,5314986.1460575,428439198.5360543,414.75595238095235,0.0,0.0,0.0,0.0,164.03839135112455,1598.267297756714
9,0.0015,1.0,1.0,5314986.1460575,428439198.5360543,414.75595238095235,0.0,0.0,0.0,0.0,156.95726426754976,1597.342060139574
10,0.0555,1.0,1.0,5305800.719093253,428439198.5360543,414.75595238095235,0.0,0.0,0.0,0.0,148.5469003293315,1614.2330599824304
11,0.0555,1.0,1.0,5305800.719093253,413972442.09060895,414.75595238095235,0.0,0.0,0.0,0.0,144.4867184192357,1640.3414400386923
12,0.0555,1.0,1.0,5168870.383112922,409105576.2562343,414.75595238095235,0.0,0.0,0.0,0.0,141.2564784237343,1651.7361313563713
13,0.0555,1.0,1.0,5168870.383112922,409105576.2562343,412.12095238095236,0.0,0.0,0.0,0.0,131.22601947208852,1642.0304836033947
14,0.0555,1.0,1.0,5168870.383112922,397920217.30253196,412.12095238095236,0.0,0.0,0.0,0.0,131.06372611732817,1672.3951118033021
15,0.256,1.0,1.0,5162511.694180065,395840552.8043809,412.12095238095236,0.0,0.0,0.0,0.0,129.06363246771159,1698.802602708755
16,0.256,1.0,1.0,5016266.734425582,395840552.8043809,412.12095238095236,0.0,0.0,0.0,0.0,133.79135860448173,1716.9320240096158
17,0.256,1.0,1.0,4992533.953933397,395840552.8043809,412.12095238095236,0.0,0.0,0.0,0.0,126.48581487710277,1706.6819415015636
18,0.256,1.0,1.0,4964814.945684849,386424448.83851665,412.12095238095236,0.0,0.0,0.0,0.0,111.27655643724917,1679.4144098956035
19,0.256,1.0,1.0,4781786.297911687,379704185.22873133,412.12095238095236,0.0,0.0,0.0,0.0,101.52491293843889,1623.787545306048
20,0.424,1.0,1.0,4781786.297911687,374572018.5287858,412.12095238095236,0.0,0.0,0.0,0.0,99.04059696449514,1619.6535419043125
21,0.424,1.0,1.0,4781786.297911687,374572018.5287858,412.12095238095236,0.0,0.0,0.0,0.0,94.63564253841254,1640.301976993607
22,0.424,1.0,1.0,4769559.276499422,374572018.5287858,412.12095238095236,0.0,0.0,0.0,0.0,100.46703203520102,1673.4350741158785
23,0.424,1.0,1.0,4769559.276499422,374105683.11550355,412.12095238095236,0.0,0.0,0.0,0.0,106.31695418351246,1689.9056242144115
24,0.424,1.0,1.0,4763687.027141583,374105683.11550355,412.12095238095236,0.0,0.0,0.0,0.0,106.75303571155577,1700.6812828621173
25,0.565,1.0,1.0,4727127.363774291,374105683.11550355,407.8542857142857,0.0,0.0,0.0,0.0,92.64716917055553,1654.1228184914316
26,0.565,1.0,1.0,4724341.292811945,374105683.11550355,407.8542857142857,0.0,0.0,0.0,0.0,93.87717890238336,1680.2420618874205
27,0.565,1.0,1.0,4724341.292811945,372164814.13803107,407.8542857142857,0.0,0.0,0.0,0.0,91.66115502587941,1658.7755032720793
28,0.565,1.0,1.0,4724341.292811945,372164814.13803107,407.8542857142857,0.0,0.0,0.0,0.0,95.58174002281814,1675.9099677798413
29,0.565,1.0,1.0,4724341.292811945,372164814.13803107,407.8542857142857,0.0,0.0,0.0,0.0,94.89871508126582,1676.053160020508
30,0.6315,1.0,1.0,4594318.824325502,370950983.92032707,407.8542857142857,0.0,0.0,0.0,0.0,97.15266151381799,1690.3500814737865
31,0.6315,1.0,1.0,4594318.824325502,370950983.92032707,407.8542857142857,0.0,0.0,0.0,0.0,99.32166479534719,1709.1811159604754
32,0.6315,1.0,1.0,4594318.824325502,370950983.92032707,407.8542857142857,0.0,0.0,0.0,0.0,101.96551867004953,1725.4023354189214
33,0.6315,1.0,1.0,4587680.920753757,367595289.76534027,407.8542857142857,0.0,0.0,0.0,0.0,106.90193272898635,1734.3876675779366
34,0.6315,1.0,1.0,4587680.920753757,367595289.76534027,407.8542857142857,0.0,0.0,0.0,0.0,107.12020737233114,1738.2317964723004
